row_label_raw,row_label_full,Công ty,Địa điểm,Tình trạng,Ngành nghề kinh doanh,Tỷ lệ sở hữu %,Tỷ lệ biểu quyết %,numeric__Địa điểm,numeric__Tình trạng,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu %,numeric__Tỷ lệ biểu quyết %
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,"Thành phố Hồ Chí Minh (""TPHCM"")",Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Năng lượng Thương Tín,Công ty con > Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,TPHCM,Đang trong quá trình giải thể,Sản xuất,"52,00","52,00",,,,52.0,52.0
Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,Công ty con > Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Địa ốc Đông Sài Gòn,TPHCM,Đang hoạt động,Bất động sản,"95,00","95,00",,,,95.0,95.0
Công ty Cổ phần Thương Tín Tàu Cước,Công ty con > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,TPHCM,Đang hoạt động,Xây dựng và bất động sản,"99,52","99,52",,,,99.52,99.52
Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,Công ty con > Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Bất động sản Sài Gòn Thương Tín,TPHCM,Đang hoạt động,Kinh doanh bất động sản,"50,00","50,00",,,,50.0,50.0
Công ty Cổ phần Mai Lan,Công ty con > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,TPHCM,Đang hoạt động,Dịch vụ,"90,07","90,07",,,,90.07,90.07
Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty con > Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty TNHH Thương Tín – CJ Cầu Tre,TPHCM,Đang hoạt động,Dịch vụ,"74,00","74,00",,,,74.0,74.0
Công ty TNHH Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty con > Công ty TNHH Đầu tư Phát triển Bất động sản Hùng Anh Năm,Công ty TNHH Đầu tư Phát triển Bất động sản Hùng Anh Năm,TPHCM,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty CP Thương Mại Nguyễn Kim Đà Nẵng,Công ty con > Công ty CP Thương Mại Nguyễn Kim Đà Nẵng,Công ty CP Thương Mại Nguyễn Kim Đà Nẵng,Đà Nẵng,Đang hoạt động,Bất động sản và dịch vụ thương mại,"90,00","90,00",,,,90.0,90.0
Công ty TNHH MTV TTC Land Retail Management,Công ty con > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,TPHCM,Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Đầu tư BDS TTC Land Long An,Công ty con > Công ty Cổ phần Đầu tư BDS TTC Land Long An,Công ty Cổ phần Đầu tư BDS TTC Land Long An,Long An,Đang hoạt động,Kinh doanh bất động sản,"98,00","98,00",,,,98.0,98.0
Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Công ty con > Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Kiên Giang,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Đầu tư BDS TTC Land Hung Điền,Công ty con > Công ty Cổ phần Đầu tư BDS TTC Land Hung Điền,Công ty Cổ phần Đầu tư BDS TTC Land Hung Điền,TPHCM,Đang hoạt động,Bất động sản,"61,00","61,00",,,,61.0,61.0
