row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (đã trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã trình bày lại)
100,100,100,A. TÀI SẢN NGĂN HẠN,,6.672.565.141.846,6.173.126.738.814,,,6672565141846.0,6173126738814.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,63.097.142.036,94.119.731.608,,4.0,63097142036.0,94119731608.0
111,111,111,1. Tiền,,53.752.003.698,84.107.885.105,,,53752003698.0,84107885105.0
112,112,112,2. Các khoản tương đương tiền,,9.345.138.338,10.011.846.503,,,9345138338.0,10011846503.0
120,120,120,II. Đầu tư ngắn hạn,,100.501.261.233,182.729.724.638,,,100501261233.0,182729724638.0
123,123,123,1. Đầu tư nằm giữ đến ngày đào hạn,5,100.501.261.233,182.729.724.638,,5.0,100501261233.0,182729724638.0
130,130,130,III. Các khoản phải thu ngắn hạn,,3.867.643.883.441,3.199.909.689.017,,,3867643883441.0,3199909689017.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6,488.402.610.571,299.366.487.895,,6.0,488402610571.0,299366487895.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7,1.297.024.653.836,1.116.214.463.811,,7.0,1297024653836.0,1116214463811.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,1.583.826.790.332,1.447.060.694.445,,8.0,1583826790332.0,1447060694445.0
136,136,136,4. Phải thu ngắn hạn khác,9,498.389.828.702,423.487.632.866,,9.0,498389828702.0,423487632866.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,34,-,(86.219.590.000),,34.0,,-86219590000.0
140,140,140,IV. Hàng tồn kho,10,2.640.349.322.103,2.676.798.116.353,,10.0,2640349322103.0,2676798116353.0
141,141,141,1. Hàng tồn kho,,2.640.349.322.103,2.682.499.876.353,,,2640349322103.0,2682499876353.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,-,(5.701.760.000),,,,-5701760000.0
150,150,150,V. Tài sản ngắn hạn khác,,973.533.033,19.569.477.198,,,973533033.0,19569477198.0
151,151,151,1. Chi phí trả trước ngắn hạn,,973.533.033,2.010.770.225,,,973533033.0,2010770225.0
152,152,152,2. Thuế GTGT được khấu trừ,,-,17.558.706.973,,,,17558706973.0
