row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.438.724.240.000,333.441.184.101,(11.890.000),24.890.292.522,106.127.077.647,465.877.041.437,3.369.047.945.707,2438724240000.0,333441184101.0,-11890000.0,24890292522.0,106127077647.0,465877041437.0,3369047945707.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,731.613.700.000,(180.000.000),-,-,-,-,731.433.700.000,731613700000.0,-180000000.0,,,,,731433700000.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,20.023.396.743,(20.023.396.743),-,,,,,20023396743.0,-20023396743.0,
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(20.023.396.743),(20.023.396.743),,,,,,-20023396743.0,-20023396743.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,82.817.554.185,82.817.554.185,,,,,,82817554185.0,82817554185.0
Phát hành cổ phiếuthường,Năm trước > Phát hành cổ phiếuthường,Phát hành cổ phiếuthường,221.888.810.000,-,-,-,-,(221.888.810.000),-,221888810000.0,,,,,-221888810000.0,
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.392.226.750.000,333.261.184.101,(11.890.000),24.890.292.522,126.150.474.390,286.758.992.136,4.163.275.803.149,3392226750000.0,333261184101.0,-11890000.0,24890292522.0,126150474390.0,286758992136.0,4163275803149.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.392.226.750.000,333.261.184.101,(11.890.000),24.890.292.522,126.150.474.390,286.758.992.136,4.163.275.803.149,3392226750000.0,333261184101.0,-11890000.0,24890292522.0,126150474390.0,286758992136.0,4163275803149.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,207.980.235.866,207.980.235.866,,,,,,207980235866.0,207980235866.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.140.877.709,(4.140.877.709),-,,,,,4140877709.0,-4140877709.0,
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(8.281.755.418),(8.281.755.418),,,,,,-8281755418.0,-8281755418.0
Phát hành cổ phiếu quỹ (*),Năm nay > Phát hành cổ phiếu quỹ (*),Phát hành cổ phiếu quỹ (*),-,(3.402.890),11.890.000,-,-,-,8.487.110,,-3402890.0,11890000.0,,,,8487110.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.392.226.750.000,333.257.781.211,-,24.890.292.522,130.291.352.099,482.316.594.875,4.362.982.770.707,3392226750000.0,333257781211.0,,24890292522.0,130291352099.0,482316594875.0,4362982770707.0
