row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất vô thời hạn,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,18.244,52.959,250,71.453,18244.0,52959.0,250.0,71453.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,291,633,924,,291.0,633.0,924.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,18.244,53.250,883,72.377,18244.0,53250.0,883.0,72377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,-,(23.030),(117),(23.147),,-23030.0,-117.0,-23147.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,(6.330),(21),(6.351),,-6330.0,-21.0,-6351.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,-,(29.360),(138),(29.498),,-29360.0,-138.0,-29498.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.244,29.929,133,48.306,18244.0,29929.0,133.0,48306.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.244,23.890,745,42.879,18244.0,23890.0,745.0,42879.0
