row_label_raw,row_label_full,col_0,Giá trị ghi số (Không bao gồm dự phòng) > Số cuối năm,Giá trị ghi số (Không bao gồm dự phòng) > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số (Không bao gồm dự phòng) > Số cuối năm,numeric__Giá trị ghi số (Không bao gồm dự phòng) > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền mặt,Tài sản tài chính > Tiền mặt,Tiền mặt,1.977,3.872,1.977,3.872,1977.0,3872.0,1977.0,3872.0
Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tiền gửi tại Ngân hàng Nhà nước (NHNN),100.855,5.398,100.855,5.398,100855.0,5398.0,100855.0,5398.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,8.255.119,3.209.032,(*),(*),8255119.0,3209032.0,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,12.029.785,9.874.143,(*),(*),12029785.0,9874143.0,,
Chứng khoán đầu tư - Chứng khoán nợ,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,6.609.272,7.176.531,(*),(*),6609272.0,7176531.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,447.573,480.022,(*),(*),447573.0,480022.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.065.806,1.117.376,(*),(*),1065806.0,1117376.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",658.740,826.096,(*),(*),658740.0,826096.0,,
,,,29.169.127,22.692.470,,,29169127.0,22692470.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,12.965.360,9.277.288,(*),(*),12965360.0,9277288.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,6.773.022,4.642.451,(*),(*),6773022.0,4642451.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",4.528.715,4.358.543,(*),(*),4528715.0,4358543.0,,
Phát hành giấy tờ có giá,Công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,500.000,10.000,(*),(*),500000.0,10000.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",226.078,250.132,(*),(*),226078.0,250132.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,98.850,91.311,(*),(*),98850.0,91311.0,,
,,,25.092.025,18.629.725,,,25092025.0,18629725.0,,
