row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
"Ký quỹ, thế chấp, cầm cố","Ký quỹ, thế chấp, cầm cố","Ký quỹ, thế chấp, cầm cố",3.679,396.166,3679.0,396166.0
- Đặt cọc mua chứng khoán (*),- Đặt cọc mua chứng khoán (*),- Đặt cọc mua chứng khoán (*),,392.824,,392824.0
"- Ký quỹ, thế chấp, cầm cố khác","- Ký quỹ, thế chấp, cầm cố khác","- Ký quỹ, thế chấp, cầm cố khác",3.679,3.342,3679.0,3342.0
Thanh toán với Ngân sách Nhà nước,Thanh toán với Ngân sách Nhà nước,Thanh toán với Ngân sách Nhà nước,561,560,561.0,560.0
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,2.676,,2676.0,
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,1.367,6.631,1367.0,6631.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,1.057.373,713.784,1057373.0,713784.0
- Phải thu từ các hợp đồng mua và bán lại,- Phải thu từ các hợp đồng mua và bán lại,- Phải thu từ các hợp đồng mua và bán lại,28.348,28.348,28348.0,28348.0
- Phải thu lãi từ các hợp đồng mua và bán lại,- Phải thu lãi từ các hợp đồng mua và bán lại,- Phải thu lãi từ các hợp đồng mua và bán lại,12.599,13.099,12599.0,13099.0
- Phải thu từ các hợp đồng hợp tác đầu tư,- Phải thu từ các hợp đồng hợp tác đầu tư,- Phải thu từ các hợp đồng hợp tác đầu tư,39.272,116.505,39272.0,116505.0
- Phải thu lãi từ các hợp đồng hợp tác đầu tư,- Phải thu lãi từ các hợp đồng hợp tác đầu tư,- Phải thu lãi từ các hợp đồng hợp tác đầu tư,2.878,4.241,2878.0,4241.0
- Phải thu đối tác trả chậm ủy thác đầu tư,- Phải thu đối tác trả chậm ủy thác đầu tư,- Phải thu đối tác trả chậm ủy thác đầu tư,2.568,54.982,2568.0,54982.0
- Phải thu lãi từ khoản trả chậm ủy thác đầu tư,- Phải thu lãi từ khoản trả chậm ủy thác đầu tư,- Phải thu lãi từ khoản trả chậm ủy thác đầu tư,282,282,282.0,282.0
- Phải thu từ các khoản mua bán chứng khoán,- Phải thu từ các khoản mua bán chứng khoán,- Phải thu từ các khoản mua bán chứng khoán,109.881,323.124,109881.0,323124.0
- Phải thu Công ty Cổ phần Đầu tư ATS (**),- Phải thu Công ty Cổ phần Đầu tư ATS (**),- Phải thu Công ty Cổ phần Đầu tư ATS (**),,147.744,,147744.0
- Phải thu tiền bán nợ cho Công ty TNHH Aeolus Power (***),- Phải thu tiền bán nợ cho Công ty TNHH Aeolus Power (***),- Phải thu tiền bán nợ cho Công ty TNHH Aeolus Power (***),516.849,,516849.0,
- Phải thu tiền bán nợ cho Công ty Cổ phần Mua bán Nợ Việt Nam Thịnh Vượng (****),- Phải thu tiền bán nợ cho Công ty Cổ phần Mua bán Nợ Việt Nam Thịnh Vượng (****),- Phải thu tiền bán nợ cho Công ty Cổ phần Mua bán Nợ Việt Nam Thịnh Vượng (****),171.459,,171459.0,
- Phải thu tiền bán nợ cho Công ty Cổ phần Tư vấn và Đầu tư TC An Bình (***** ),- Phải thu tiền bán nợ cho Công ty Cổ phần Tư vấn và Đầu tư TC An Bình (***** ),- Phải thu tiền bán nợ cho Công ty Cổ phần Tư vấn và Đầu tư TC An Bình (***** ),145.048,,145048.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,28.189,25.459,28189.0,25459.0
,,,1.065.656,1.117.141,1065656.0,1117141.0
