row_label_raw,row_label_full,col_0,Tài sản tài chính,Tài sản tài chính_1,Tài sản tài chính_2,Tài sản tài chính_3,Tài sản tài chính_4,numeric__Tài sản tài chính,numeric__Tài sản tài chính_1,numeric__Tài sản tài chính_2,numeric__Tài sản tài chính_3,numeric__Tài sản tài chính_4
,,,Kinh doanh,Giữ đến ngày đáo hạn,Cho vay và các khoản phải thu,Sẵn sàng để bán,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tiền mặt,Tiền mặt,Tiền mặt,1.977,-,-,-,1.977,1977.0,,,,1977.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,100.855,-,100.855,,,100855.0,,100855.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,8.255.119,-,8.255.119,,,8255119.0,,8255119.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,12.029.785,-,12.029.785,,,12029785.0,,12029785.0
Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,-,230.788,-,6.378.484,6.609.272,,230788.0,,6378484.0,6609272.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,447.573,447.573,,,,447573.0,447573.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,-,1.065.806,-,1.065.806,,,1065806.0,,1065806.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,-,658.740,-,658.740,,,658740.0,,658740.0
,,,1.977,230.788,22.110.305,6.826.057,29.169.127,1977.0,230788.0,22110305.0,6826057.0,29169127.0
