row_label_raw,row_label_full,CHỈ TIÊU,EURquy đổi > Triệu VND,USDquy đổi > Triệu VND,Các loạitiền tệ khácđược quyđổi > Triệu VND,Tổng > Triệu VND,numeric__EURquy đổi > Triệu VND,numeric__USDquy đổi > Triệu VND,numeric__Các loạitiền tệ khácđược quyđổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,113,133,-,246,113.0,133.0,,246.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,23,-,23,,23.0,,23.0
Tiền gửi tại và cho vay các TCTDkhác (*),Tài sản > Tiền gửi tại và cho vay các TCTDkhác (*),Tiền gửi tại và cho vay các TCTDkhác (*),3.189,2.358.488,399,2.362.076,3189.0,2358488.0,399.0,2362076.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,3.838.158,-,3.838.158,,3838158.0,,3838158.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),29,96.907,2.581,99.517,29.0,96907.0,2581.0,99517.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.331,6.293.709,2.980,6.300.020,3331.0,6293709.0,2980.0,6300020.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,1.640.100,-,1.640.100,,1640100.0,,1640100.0
"Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro",-,4.521.977,-,4.521.977,,4521977.0,,4521977.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,59.726,-,59.726,,59726.0,,59726.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,6.221.803,-,6.221.803,,6221803.0,,6221803.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,3.331,71.906,2.980,78.217,3331.0,71906.0,2980.0,78217.0
