row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị dự phòng,Số cuối năm > Tỷ lệ sở hữu,Số đầu năm > Giá gốc,Số đầu năm > Giá trị dự phòng,Số đầu năm > Tỷ lệ sở hữu,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị dự phòng,numeric__Số cuối năm > Tỷ lệ sở hữu,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị dự phòng,numeric__Số đầu năm > Tỷ lệ sở hữu
,,,Triệu VND,Triệu VND,%,Triệu VND,Triệu VND,%,,,,,,
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,,,,,,
- Công ty Cổ phần Đầu tư Điện lực Hà Nội,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Đầu tư Điện lực Hà Nội,- Công ty Cổ phần Đầu tư Điện lực Hà Nội,48.300,-,"10,00",48.300,-,"10,00",48300.0,,10.0,48300.0,,10.0
- Công ty Cổ phần Đầu tư Phát triển Khánh Hòa - Hà Nội,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Đầu tư Phát triển Khánh Hòa - Hà Nội,- Công ty Cổ phần Đầu tư Phát triển Khánh Hòa - Hà Nội,13.677,(789),"11,00",13.677,(579),"11,00",13677.0,-789.0,11.0,13677.0,-579.0,11.0
- Công ty Cổ phần Seoul Metal Việt Nam,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Seoul Metal Việt Nam,- Công ty Cổ phần Seoul Metal Việt Nam,43.475,-,"6,69",43.475,-,"6,30",43475.0,,6.69,43475.0,,6.3
- Công ty Cổ phần Helio Power,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Helio Power,- Công ty Cổ phần Helio Power,300.000,-,"7,50",300.000,-,"9,09",300000.0,,7.5,300000.0,,9.09
- Công ty Cổ phần Intersolar,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Intersolar,- Công ty Cổ phần Intersolar,5.500,-,"11,00",-,-,-,5500.0,,11.0,,,
- Công ty Cổ phần Đầu tư Năng lượng Tái tạo Cà Mau,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Đầu tư Năng lượng Tái tạo Cà Mau,- Công ty Cổ phần Đầu tư Năng lượng Tái tạo Cà Mau,36.622,-,"10,02",-,-,-,36622.0,,10.02,,,
- Công ty Cổ phần Giải pháp Thanh toán Điện lực và Viễn thông,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Giải pháp Thanh toán Điện lực và Viễn thông,- Công ty Cổ phần Giải pháp Thanh toán Điện lực và Viễn thông,-,-,-,5.500,-,"0,60",,,,5500.0,,0.6
- Công ty Cổ phần Amber Capital,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Amber Capital,- Công ty Cổ phần Amber Capital,-,-,-,39.200,-,"4,90",,,,39200.0,,4.9
- Công ty Cổ phần Bất động sản Quang Anh,Các khoản đầu tư dài hạn khác > - Công ty Cổ phần Bất động sản Quang Anh,- Công ty Cổ phần Bất động sản Quang Anh,-,-,-,29.870,-,"4,98",,,,29870.0,,4.98
,,,447.573,(789),,480.022,(579),,447573.0,-789.0,,480022.0,-579.0,
