row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,"Thiết bị,dụng cụquản lý",Tài sản cốđịnh hữuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,"numeric__Thiết bị,dụng cụquản lý",numeric__Tài sản cốđịnh hữuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,,,,,,
Tại ngày đầu năm,Nguyễn giá > Tại ngày đầu năm,Tại ngày đầu năm,8.280,41.730,23.891,24.094,1.676,99.671,8280.0,41730.0,23891.0,24094.0,1676.0,99671.0
Mua sắm trong năm,Nguyễn giá > Mua sắm trong năm,Mua sắm trong năm,-,609,237,921,-,1.767,,609.0,237.0,921.0,,1767.0
"Thanh lý, nhượng bán","Nguyễn giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(99),(253),(1.989),-,(2.341),,-99.0,-253.0,-1989.0,,-2341.0
Tại ngày cuối năm,Nguyễn giá > Tại ngày cuối năm,Tại ngày cuối năm,8.280,42.240,23.875,23.026,1.676,99.097,8280.0,42240.0,23875.0,23026.0,1676.0,99097.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,(1.131),(18.724),(21.141),(14.321),(1.250),(56.567),-1131.0,-18724.0,-21141.0,-14321.0,-1250.0,-56567.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(331),(4.845),(1.415),(2.402),(25),(9.018),-331.0,-4845.0,-1415.0,-2402.0,-25.0,-9018.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,99,253,1.157,-,1.509,,99.0,253.0,1157.0,,1509.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,(1.462),(23.470),(22.303),(15.566),(1.275),(64.076),-1462.0,-23470.0,-22303.0,-15566.0,-1275.0,-64076.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.149,23.006,2.750,9.773,426,43.104,7149.0,23006.0,2750.0,9773.0,426.0,43104.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,6.818,18.770,1.572,7.460,401,35.021,6818.0,18770.0,1572.0,7460.0,401.0,35021.0
