row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,1.977,3.872,,5.0,1977.0,3872.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,100.855,5.398,,6.0,100855.0,5398.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,8.255.119,3.209.032,,7.0,8255119.0,3209032.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,5.457.019,1.471.594,,,5457019.0,1471594.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,2.798.100,1.737.438,,,2798100.0,1737438.0
IV.,A. > IV.,IV.,Cho vay khách hàng,,11.883.573,9.719.246,,,11883573.0,9719246.0
1.,A. > 1.,1.,Cho vay khách hàng,8,12.029.785,9.874.143,,8.0,12029785.0,9874143.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,9,(146.212),(154.897),,9.0,-146212.0,-154897.0
V.,A. > V.,V.,Chứng khoán đầu tư,10,6.456.403,6.982.557,,10.0,6456403.0,6982557.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,6.378.484,6.861.279,,,6378484.0,6861279.0
2.,A. > 2.,2.,Chứng khoán đầu tư nằm giữ đến ngày đáo hạn,,230.788,315.252,,,230788.0,315252.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(152.869),(193.974),,,-152869.0,-193974.0
VI.,A. > VI.,VI.,"Góp vốn, đầu tư dài hạn",11,446.784,479.443,,11.0,446784.0,479443.0
1.,A. > 1.,1.,Đầu tư dài hạn khác,,447.573,480.022,,,447573.0,480022.0
2.,A. > 2.,2.,Dự phòng giảm giá đầu tư dài hạn,,(789),(579),,,-789.0,-579.0
VII.,A. > VII.,VII.,Tài sản cố định,,77.900,91.410,,,77900.0,91410.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,12,35.021,43.104,,12.0,35021.0,43104.0
a.,A. > a.,a.,Nguyễn giá TSCĐ,,99.097,99.671,,,99097.0,99671.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(64.076),(56.567),,,-64076.0,-56567.0
2.,A. > 2.,2.,Tài sản cố định vô hình,13,42.879,48.306,,13.0,42879.0,48306.0
a.,A. > a.,a.,Nguyễn giá TSCĐ,,72.377,71.453,,,72377.0,71453.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(29.498),(23.147),,,-29498.0,-23147.0
VIII.,A. > VIII.,VIII.,Tài sản Có khác,14,1.582.282,1.632.854,,14.0,1582282.0,1632854.0
1.,A. > 1.,1.,Các khoản phải thu,,1.065.806,1.117.376,,,1065806.0,1117376.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,658.740,826.096,,,658740.0,826096.0
3.,A. > 3.,3.,Tài sản Có khác,,52.890,60.689,,,52890.0,60689.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(195.154),(371.307),,,-195154.0,-371307.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,28.804.893,22.123.812,,,28804893.0,22123812.0
