row_label_raw,row_label_full,Loại tài sản,Năm nay(Số năm),numeric__Năm nay(Số năm)
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,25,25.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,03 - 08,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,06 - 10,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 - 05,
Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,04 - 25,
