row_label_raw,row_label_full,col_0,Vốn điều lệ,Quỹ Đầu tư phát triển,Quỹ Dự phòng tài chính,Quỹ dự trữ bổ sung Vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,"Vốn đầu tư XDCB, mua sắm TSCĐ",Tổng công,numeric__Vốn điều lệ,numeric__Quỹ Đầu tư phát triển,numeric__Quỹ Dự phòng tài chính,numeric__Quỹ dự trữ bổ sung Vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ",numeric__Tổng công
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.500.000,30.770,203.866,101.933,611.654,2.328,3.450.551,2500000.0,30770.0,203866.0,101933.0,611654.0,2328.0,3450551.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,,,
Lợi nhuận trong năm,Tăng trong năm > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,228.409,-,228.409,,,,,228409.0,,228409.0
Chia cổ tức bằng phát hành cổ phiếu,Tăng trong năm > Chia cổ tức bằng phát hành cổ phiếu,Chia cổ tức bằng phát hành cổ phiếu,149.813,-,-,-,-,-,149.813,149813.0,,,,,,149813.0
Trích bổ sung các quỹ từ lợi nhuận năm trước,Tăng trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,22.945,11.473,-,-,34.418,,,22945.0,11473.0,,,34418.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,,,
Trích bổ sung các quỹ từ lợi nhuận năm trước,Giảm trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,-,-,(47.493),-,(47.493),,,,,-47493.0,,-47493.0
Chia cổ tức,Giảm trong năm > Chia cổ tức,Chia cổ tức,-,-,-,-,(149.813),-,(149.813),,,,,-149813.0,,-149813.0
Số dư cuối năm,Giảm trong năm > Số dư cuối năm,Số dư cuối năm,2.649.813,30.770,226.811,113.406,642.757,2.328,3.665.885,2649813.0,30770.0,226811.0,113406.0,642757.0,2328.0,3665885.0
,,,,,,Tỷ lệ,Số tiền,,,,,,,,,
,,,,,,%,Triệu VND,,,,,,,,,
Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Giảm trong năm > Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,Lợi nhuận sau thuế chưa phân phối đến ngày 01/01/2020,611.654,,,,,,,611654.0,,
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,,,,,,,
- Quỹ dự trữ bổ sung Vốn điều lệ,Trích các Quỹ > - Quỹ dự trữ bổ sung Vốn điều lệ,- Quỹ dự trữ bổ sung Vốn điều lệ,- Quỹ dự trữ bổ sung Vốn điều lệ,- Quỹ dự trữ bổ sung Vốn điều lệ,- Quỹ dự trữ bổ sung Vốn điều lệ,"5,0",11.473,,,,,,5.0,11473.0,,
- Quỹ dự phòng tài chính,Trích các Quỹ > - Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"10,0",22.945,,,,,,10.0,22945.0,,
- Quỹ khen thưởng,Trích các Quỹ > - Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"3,1",7.111,,,,,,3.1,7111.0,,
- Quỹ phúc lợi,Trích các Quỹ > - Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"2,6",5.964,,,,,,2.6,5964.0,,
Lợi nhuận để lại,Trích các Quỹ > Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,564.161,,,,,,,564161.0,,
