row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,
Ông Nguyễn Thế Vinh,Thù lao thành viên Hội đồng Quản trị > Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Thành viên,390.000.000,390.000.000,,390000000.0,390000000.0
Ông Đặng Huỳnh Anh Tuấn,Thù lao thành viên Hội đồng Quản trị > Ông Đặng Huỳnh Anh Tuấn,Ông Đặng Huỳnh Anh Tuấn,Thành viên,390.000.000,390.000.000,,390000000.0,390000000.0
Bà Phạm Thị Khuê,Thù lao thành viên Hội đồng Quản trị > Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Thành viên,390.000.000,390.000.000,,390000000.0,390000000.0
Bà Nguyễn Thùy Vân,Thù lao thành viên Hội đồng Quản trị > Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Thành viên,390.000.000,390.000.000,,390000000.0,390000000.0
Ông Eiji Hagio,Thù lao thành viên Hội đồng Quản trị > Ông Eiji Hagio,Ông Eiji Hagio,Thành viên,262.166.667,-,,262166667.0,
Ông Mark Houghton Scott Leslie,Thù lao thành viên Hội đồng Quản trị > Ông Mark Houghton Scott Leslie,Ông Mark Houghton Scott Leslie,Thành viên,262.166.667,-,,262166667.0,
Ông Toshihiro Oki,Thù lao thành viên Hội đồng Quản trị > Ông Toshihiro Oki,Ông Toshihiro Oki,Thành viên,118.000.000,390.000.000,,118000000.0,390000000.0
Ông Simon Mark Wilson,Thù lao thành viên Hội đồng Quản trị > Ông Simon Mark Wilson,Ông Simon Mark Wilson,Thành viên,118.000.000,390.000.000,,118000000.0,390000000.0
Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,,,
Ông Tân Xuân Hiển,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc > Ông Tân Xuân Hiển,Ông Tân Xuân Hiển,Chủ tịch,2.406.822.500,2.348.224.000,,2406822500.0,2348224000.0
Bà Nguyễn Thái Hà,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc > Bà Nguyễn Thái Hà,Bà Nguyễn Thái Hà,Tổng Giám đốc,2.777.133.345,2.716.986.000,,2777133345.0,2716986000.0
Ông Lê Thanh Vinh,Ông Lê Thanh Vinh,Ông Lê Thanh Vinh,Phó Tổng Giám đốc,,,,,
,,,thường trực,2.237.466.905,2.142.174.000,,2237466905.0,2142174000.0
Ông Nguyễn Phong Phú,Ông Lê Thanh Vinh > Ông Nguyễn Phong Phú,Ông Nguyễn Phong Phú,Phó Tổng Giám đốc,1.755.327.125,1.592.319.000,,1755327125.0,1592319000.0
Bà Trần Thị Hồng Thẩm,Ông Lê Thanh Vinh > Bà Trần Thị Hồng Thẩm,Bà Trần Thị Hồng Thẩm,Giám đốc tài chính,1.129.094.470,1.086.569.000,,1129094470.0,1086569000.0
TỔNG CỘNG,Ông Lê Thanh Vinh > TỔNG CỘNG,TỔNG CỘNG,,12.626.177.679,12.226.272.000,,12626177679.0,12226272000.0
