row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Cash on hand,Cash on hand,Cash on hand,-,"21,086,305",,
Cash in banks,Cash in banks,Cash in banks,"17,757,410,692","38,298,379,789",,
Cash equivalents (*),Cash equivalents (*),Cash equivalents (*),"3,000,000,000","11,000,000,000",,
TOTAL,TOTAL,TOTAL,"20,757,410,692","49,319,466,094",,
