row_label_raw,row_label_full,col_0,Beginning balance,Increase in year,Decrease in year,Reclassification,Allocation of bond issuance costs,Ending balance,numeric__Beginning balance,numeric__Increase in year,numeric__Decrease in year,numeric__Reclassification,numeric__Allocation of bond issuance costs,numeric__Ending balance
Short-term loans,Short-term loans,Short-term loans,"811,614,187,471","136,234,011,504","(887,377,843,609)","242,700,000,003",-,"303,170,355,369",,,,,,
Current portion of long-term loans from banks (Note 18.1),Current portion of long-term loans from banks (Note 18.1),Current portion of long-term loans from banks (Note 18.1),"108,733,333,332",-,"(176,333,333,332)","167,700,000,003",-,"100,100,000,003",,,,,,
Current portion of issued bonds (Note 18.2),Current portion of issued bonds (Note 18.2),Current portion of issued bonds (Note 18.2),"60,000,000,000",-,"(60,000,000,000)","75,000,000,000",-,"75,000,000,000",,,,,,
Loans from related party (Note 18.3),Loans from related party (Note 18.3),Loans from related party (Note 18.3),"393,000,000,000",-,"(323,000,000,000)",-,-,"70,000,000,000",,,,,,
Loans from banks (Note 18.4),Loans from banks (Note 18.4),Loans from banks (Note 18.4),"38,209,574,140","136,234,011,504","(116,454,510,277)",-,-,"57,989,075,367",,,,,,
Loans from third party (*),Loans from third party (*),Loans from third party (*),"211,590,000,000",-,"(211,590,000,000)",-,-,-,,,,,,
Others,Others,Others,"81,279,999",-,-,-,-,"81,279,999",,,,,,
Long-term loans,Long-term loans,Long-term loans,"1,264,686,368,817","230,000,000,000","(6,000,000,000)","(242,700,000,003)","2,014,733,328","1,248,001,102,142",,,,,,
Issued bonds (Note 18.2),Issued bonds (Note 18.2),Issued bonds (Note 18.2),"598,486,368,814",-,-,"(75,000,000,000)","2,014,733,328","525,501,102,142",,,,,,
Loans from banks (Note 18.1),Loans from banks (Note 18.1),Loans from banks (Note 18.1),"666,200,000,003",-,-,"(167,700,000,003)",-,"498,500,000,000",,,,,,
Loans from related parties (Note 18.5),Loans from related parties (Note 18.5),Loans from related parties (Note 18.5),-,"230,000,000,000","(6,000,000,000)",-,-,"224,000,000,000",,,,,,
TOTAL,TOTAL,TOTAL,"2,076,300,556,288","366,234,011,504","(893,377,843,609)",-,"2,014,733,328","1,551,171,457,511",,,,,,
