row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,Phân bổ chi phí phát hành trái phiếu,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__Phân bổ chi phí phát hành trái phiếu,numeric__Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,811.614.187.471,136.234.011.504,(887.377.843.609),242.700.000.003,-,303.170.355.369,811614187471.0,136234011504.0,-887377843609.0,242700000003.0,,303170355369.0
Vay dài hạn ngân hàng đến hạn trả (TM số 18.1),Vay dài hạn ngân hàng đến hạn trả (TM số 18.1),Vay dài hạn ngân hàng đến hạn trả (TM số 18.1),108.733.333.332,-,(176.333.333.332),167.700.000.003,-,100.100.000.003,108733333332.0,,-176333333332.0,167700000003.0,,100100000003.0
Trái phiếu phát hành đến hạn trả (TM số 18.2),Trái phiếu phát hành đến hạn trả (TM số 18.2),Trái phiếu phát hành đến hạn trả (TM số 18.2),60.000.000.000,-,(60.000.000.000),75.000.000.000,-,75.000.000.000,60000000000.0,,-60000000000.0,75000000000.0,,75000000000.0
Vay bên liên quan (TM số 18.3),Vay bên liên quan (TM số 18.3),Vay bên liên quan (TM số 18.3),393.000.000.000,-,(323.000.000.000),-,-,70.000.000.000,393000000000.0,,-323000000000.0,,,70000000000.0
Vay ngân hàng (TM số 18.4),Vay ngân hàng (TM số 18.4),Vay ngân hàng (TM số 18.4),38.209.574.140,136.234.011.504,(116.454.510.277),-,-,57.989.075.367,38209574140.0,136234011504.0,-116454510277.0,,,57989075367.0
Vay dài hạn bên thứ ba đến hạn trả (*),Vay dài hạn bên thứ ba đến hạn trả (*),Vay dài hạn bên thứ ba đến hạn trả (*),211.590.000.000,-,(211.590.000.000),-,-,-,211590000000.0,,-211590000000.0,,,
Khác,Khác,Khác,81.279.999,-,-,-,-,81.279.999,81279999.0,,,,,81279999.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.264.686.368.817,230.000.000.000,(6.000.000.000),(242.700.000.003),2.014.733.328,1.248.001.102.142,1264686368817.0,230000000000.0,-6000000000.0,-242700000003.0,2014733328.0,1248001102142.0
Trái phiếu phát hành (TM số 18.2),Trái phiếu phát hành (TM số 18.2),Trái phiếu phát hành (TM số 18.2),598.486.368.814,-,-,(75.000.000.000),2.014.733.328,525.501.102.142,598486368814.0,,,-75000000000.0,2014733328.0,525501102142.0
Vay ngân hàng (TM số 18.1),Vay ngân hàng (TM số 18.1),Vay ngân hàng (TM số 18.1),666.200.000.003,-,-,(167.700.000.003),-,498.500.000.000,666200000003.0,,,-167700000003.0,,498500000000.0
Vay bên liên quan (TM số 18.5),Vay bên liên quan (TM số 18.5),Vay bên liên quan (TM số 18.5),-,230.000.000.000,(6.000.000.000),-,-,224.000.000.000,,230000000000.0,-6000000000.0,,,224000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.076.300.556.288,366.234.011.504,(893.377.843.609),-,2.014.733.328,1.551.171.457.511,2076300556288.0,366234011504.0,-893377843609.0,,2014733328.0,1551171457511.0
