row_label_raw,row_label_full,Tên công ty,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Công ty Cổ phần Thủy điện Gia Lai (*),Tên công ty > Công ty Cổ phần Thủy điện Gia Lai (*),Công ty Cổ phần Thủy điện Gia Lai (*),544.162.584.932,-,544.162.584.932,-,544162584932.0,,544162584932.0,
Công ty Cổ phần Năng lượng điện gió Tiền Giang,Tên công ty > Công ty Cổ phần Năng lượng điện gió Tiền Giang,Công ty Cổ phần Năng lượng điện gió Tiền Giang,1.360.624.800.000,(2.507.235.859),1.360.624.800.000,(196.688.597.020),1360624800000.0,-2507235859.0,1360624800000.0,-196688597020.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An (*),Tên công ty > Công ty Cổ phần Điện TTC Đức Huệ - Long An (*),Công ty Cổ phần Điện TTC Đức Huệ - Long An (*),1.037.312.640.000,-,1.037.312.640.000,-,1037312640000.0,,1037312640000.0,
Công ty Cổ phần Năng lượng VPL,Tên công ty > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,590.990.260.000,-,590.990.260.000,(2.925.430.748),590990260000.0,,590990260000.0,-2925430748.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Tên công ty > Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,348.843.130.000,-,348.843.130.000,-,348843130000.0,,348843130000.0,
Công ty Cổ phần Điện gió la Bang,Tên công ty > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,258.000.000.000,-,258.000.000.000,-,258000000000.0,,258000000000.0,
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi – Ja (*),Tên công ty > Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi – Ja (*),Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi – Ja (*),148.500.000.000,-,148.500.000.000,-,148500000000.0,,148500000000.0,
Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Tên công ty > Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Công ty TNHH Một thành viên Thủy điện Thượng Lộ,81.206.201.240,-,81.206.201.240,-,81206201240.0,,81206201240.0,
Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,Tên công ty > Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,3.400.000.000,(229.908.368),3.400.000.000,(190.161.233),3400000000.0,-229908368.0,3400000000.0,-190161233.0
Công Ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Tên công ty > Công Ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công Ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,1.500.000.000,-,1.500.000.000,-,1500000000.0,,1500000000.0,
Công ty Cổ phần Năng lượng Xanh Cà Mau,Tên công ty > Công ty Cổ phần Năng lượng Xanh Cà Mau,Công ty Cổ phần Năng lượng Xanh Cà Mau,1.900.000.000,(120.103.613),1.900.000.000,(79.207.180),1900000000.0,-120103613.0,1900000000.0,-79207180.0
Công ty Cổ phần Năng lượng Tái Tạo Tân Thành,Tên công ty > Công ty Cổ phần Năng lượng Tái Tạo Tân Thành,Công ty Cổ phần Năng lượng Tái Tạo Tân Thành,24.000.000.000,(512.117.226),5.000.000.000,(83.952.963),24000000000.0,-512117226.0,5000000000.0,-83952963.0
TỔNG CỔNG,Tên công ty > TỔNG CỔNG,TỔNG CỔNG,4.400.439.616.172,(3.369.365.066),4.381.439.616.172,(199.967.349.144),4400439616172.0,-3369365066.0,4381439616172.0,-199967349144.0
