row_label_raw,row_label_full,col_0,Land use right,Computer software,Others,VND Total,numeric__Land use right,numeric__Computer software,numeric__Others,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,,
Beginning balance and ending balance,Beginning balance and ending balance,Beginning balance and ending balance,"8,791,098,397","9,734,602,363","216,739,184","18,742,439,944",,,,
In which: Fully amortised,In which: Fully amortised,In which: Fully amortised,-,"9,734,602,363","216,739,184","9,951,341,547",,,,
Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,,,,
Beginning balance,Beginning balance,Beginning balance,"(1,156,769,381)","(9,728,560,693)","(216,739,184)","(11,102,069,258)",,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(229,945,392)","(6,041,670)",-,"(235,987,062)",,,,
Ending balance,Ending balance,Ending balance,"(1,386,714,773)","(9,734,602,363)","(216,739,184)","(11,338,056,320)",,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,
Beginning balance,Beginning balance,Beginning balance,"7,634,329,016","6,041,670",-,"7,640,370,686",,,,
Ending balance,Ending balance,Ending balance,"7,404,383,624",-,-,"7,404,383,624",,,,
