row_label_raw,row_label_full,Ms Nguyen Thuy Van,Chairwoman,col_2,numeric__Chairwoman,numeric__col_2
Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Member,,,
Mr Eiji Hagio,Mr Eiji Hagio,Mr Eiji Hagio,Member,appointed on 6 June 2025,,
Mr Simon Mark Wilson,Mr Simon Mark Wilson,Mr Simon Mark Wilson,Member,resigned on 29 April 2025,,
