row_label_raw,row_label_full,Bank,Ending balance VND,Purpose,Maturity,Interest rate % p.a.,Description of collateral,numeric__Ending balance VND,numeric__Purpose,numeric__Maturity,numeric__Interest rate % p.a.,numeric__Description of collateral
"Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") Gia Lai Branch","Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") Gia Lai Branch","Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") Gia Lai Branch","419,600,000,000",To invest in Krong Pa Solar Power Plant,From 9 August 2026 to 9 November 2030,"The interest rate is fixed at 7.8% per annum for the first 12 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 3 months based on the 12-month term saving deposit in Vietnamese Dong announced by Vietcombank - Gia Lai Branch plus a margin of 2.6% per annum","Krong Pa Solar Power Plant, Ayun Thuong 1A and Dak PiHao 1 hydropower plants (Note 11), and the guarantee by Thanh Thanh Cong Investment Joint Stock Company - a related party",,,,,
"The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"") Gia Dinh Branch","The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"") Gia Dinh Branch","The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"") Gia Dinh Branch","146,500,000,000",To invest in Phong Dien Solar Power Plant,From 12 October 2026 to 12 April 2029,"The interest rate is fixed at 7.5% per annum for the first 12 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 6 months based on basic rate plus a margin of 2.3% per annum","Phong Dien Solar Power Plant including land use rights with area of 449,980 m2 and all properties attached at land number 257, 258, Map No 01 Dien Loc, Phong Dien, Hue City and machinery, equipment (Note 11)",,,,,
E. Sun Commercial Bank Ltd. – Dong Nai Branch,E. Sun Commercial Bank Ltd. – Dong Nai Branch,E. Sun Commercial Bank Ltd. – Dong Nai Branch,"32,500,000,003",To invest in Tien Giang Wind Power JSC under the capital contribution for the purpose of developing Tan Phu Dong 1 Wind Power project,From 9 February 2026 to 7 August 2026,"Marginal interest rate is calculated based on the average interest rate of savings deposits in Vietnamese Dong with a term of 6 months of 4 banks (Vietinbank, Vietcombank, BIDV, Agribank) plus an interest margin of 3.6% per annum","Thuong Lo Solar Power Plant including the total construction area of 3,291.5 m2 on the land with area of 44,283.9 m2 associated with the certificate of land use rights and ownership of houses and other assets attached to the land No. 567 and 424, Khe Tre Commune, Hue City",,,,,
TOTAL,TOTAL,TOTAL,"598,600,000,003",,,,,,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,,
Current portion Non-current portion,Current portion Non-current portion,Current portion Non-current portion,"100,100,000,003",,,,,,,,,
Current portion Non-current portion,Current portion Non-current portion,Current portion Non-current portion,"498,500,000,000",,,,,,,,,
