row_label_raw,row_label_full,Bà Nguyễn Thùy Vân,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Đăng Huỳnh Anh Tuấn,Ông Đăng Huỳnh Anh Tuấn,Ông Đăng Huỳnh Anh Tuấn,Thành viên,,,
Ông Eiji Hagio,Ông Eiji Hagio,Ông Eiji Hagio,Thành viên,bổ nhiệm ngày 6 tháng 6 năm 2025,,
Ông Simon Mark Wilson,Ông Simon Mark Wilson,Ông Simon Mark Wilson,Thành viên,miễn nhiệm ngày 29 tháng 4 năm 2025,,
