row_label_raw,row_label_full,col_0,Share capital,Share premium,Investment and development fund,Undistributed earnings,VND Total,numeric__Share capital,numeric__Share premium,numeric__Investment and development fund,numeric__Undistributed earnings,numeric__VND Total
For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,,,,,
Beginning balance,Beginning balance,Beginning balance,"4,054,494,010,000","20,700,057,484","53,916,437,884","265,413,414,565","4,394,523,919,933",,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"76,119,650,583","76,119,650,583",,,,,
Dividends by share issued,Dividends by share issued,Dividends by share issued,"170,589,700,000",-,-,"(170,589,700,000)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(3,805,982,529)","(3,805,982,529)",,,,,
Utilization of investment and development funds,Utilization of investment and development funds,Utilization of investment and development funds,-,-,"(173,671,938)",-,"(173,671,938)",,,,,
Dividend on preference shares,Dividend on preference shares,Dividend on preference shares,-,-,-,"(40,076,208,000)","(40,076,208,000)",,,,,
Ending balance,Ending balance,Ending balance,"4,225,083,710,000","20,700,057,484","53,742,765,946","127,061,174,619","4,426,587,708,049",,,,,
For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,For the year ended 31 December 2025,,,,,
Beginning balance,Beginning balance,Beginning balance,"4,225,083,710,000","20,700,057,484","53,742,765,946","127,061,174,619","4,426,587,708,049",,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"512,861,512,756","512,861,512,756",,,,,
Transfer to bonus and welfare fund (*),Transfer to bonus and welfare fund (*),Transfer to bonus and welfare fund (*),-,-,-,"(25,643,075,638)","(25,643,075,638)",,,,,
Dividend on preference shares (**),Dividend on preference shares (**),Dividend on preference shares (**),-,-,-,"(40,878,066,000)","(40,878,066,000)",,,,,
Reduction of share capital by repurchasing preferred shares (***),Reduction of share capital by repurchasing preferred shares (***),Reduction of share capital by repurchasing preferred shares (***),"(77,040,000,000)","(6,237,171,171)",-,-,"(83,277,171,171)",,,,,
Ending balance,Ending balance,Ending balance,"4,148,043,710,000","14,462,886,313","53,742,765,946","573,401,545,737","4,789,650,907,996",,,,,
