row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.054.494.010.000,20.700.057.484,53.916.437.884,265.413.414.565,4.394.523.919.933,4054494010000.0,20700057484.0,53916437884.0,265413414565.0,4394523919933.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,76.119.650.583,76.119.650.583,,,,76119650583.0,76119650583.0
Phát hành cổ phiếu trả cổ tức,Năm trước > Phát hành cổ phiếu trả cổ tức,Phát hành cổ phiếu trả cổ tức,170.589.700.000,-,-,(170.589.700.000),-,170589700000.0,,,-170589700000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(3.805.982.529),(3.805.982.529),,,,-3805982529.0,-3805982529.0
"Sử dụng quỹ đầu tư, phát triển","Năm trước > Sử dụng quỹ đầu tư, phát triển","Sử dụng quỹ đầu tư, phát triển",-,-,(173.671.938),-,(173.671.938),,,-173671938.0,,-173671938.0
Cổ tức cho cổ phiếu ưu đãi,Năm trước > Cổ tức cho cổ phiếu ưu đãi,Cổ tức cho cổ phiếu ưu đãi,-,-,-,(40.076.208.000),(40.076.208.000),,,,-40076208000.0,-40076208000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.225.083.710.000,20.700.057.484,53.742.765.946,127.061.174.619,4.426.587.708.049,4225083710000.0,20700057484.0,53742765946.0,127061174619.0,4426587708049.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.225.083.710.000,20.700.057.484,53.742.765.946,127.061.174.619,4.426.587.708.049,4225083710000.0,20700057484.0,53742765946.0,127061174619.0,4426587708049.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,512.861.512.756,512.861.512.756,,,,512861512756.0,512861512756.0
"Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay > Trích lập quỹ khen thưởng, phúc lợi (*)","Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(25.643.075.638),(25.643.075.638),,,,-25643075638.0,-25643075638.0
Cổ tức chia cho cổ phiếu ưu đãi (**),Năm nay > Cổ tức chia cho cổ phiếu ưu đãi (**),Cổ tức chia cho cổ phiếu ưu đãi (**),-,-,-,(40.878.066.000),(40.878.066.000),,,,-40878066000.0,-40878066000.0
Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***),Năm nay > Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***),Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***),(77.040.000.000),(6.237.171.171),-,-,(83.277.171.171),-77040000000.0,-6237171171.0,,,-83277171171.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.148.043.710.000,14.462.886.313,53.742.765.946,573.401.545.737,4.789.650.907.996,4148043710000.0,14462886313.0,53742765946.0,573401545737.0,4789650907996.0
