row_label_raw,row_label_full,Bank,Ending balanceVND,Maturity,Interest rate% p.a.,numeric__Ending balanceVND,numeric__Maturity,numeric__Interest rate% p.a.
VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,"140,000,000,000",From 9 April 2027 to 24 December 2027,7.0%,,,0.7
TTC Duc Hue - Long An Electricity Joint Stock Company,TTC Duc Hue - Long An Electricity Joint Stock Company,TTC Duc Hue - Long An Electricity Joint Stock Company,"70,000,000,000",26 June 2027,7.0%,,,0.7
la Bang Wind Electricity Joint Stock Company,la Bang Wind Electricity Joint Stock Company,la Bang Wind Electricity Joint Stock Company,"14,000,000,000",10 June 2027,7.0%,,,0.7
TOTAL,TOTAL,TOTAL,"224,000,000,000",,,,,
