row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Short-term,Short-term,Short-term,"1,894,695,430","1,691,426,072",,
Software,Software,Software,"1,164,764,417","602,240,300",,
Insurance fee,Insurance fee,Insurance fee,"180,251,189","362,815,861",,
Others,Others,Others,"549,679,824","726,369,911",,
Long-term,Long-term,Long-term,"8,125,696,622","9,710,907,534",,
Prepaid land rental,Prepaid land rental,Prepaid land rental,"6,669,918,437","6,915,901,109",,
"Tools, supplies and office equipment","Tools, supplies and office equipment","Tools, supplies and office equipment","660,812,547","416,378,574",,
Others,Others,Others,"794,965,638","2,378,627,851",,
TOTAL,TOTAL,TOTAL,"10,020,392,052","11,402,333,606",,
