row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,8.791.098.397,9.734.602.363,216.739.184,18.742.439.944,8791098397.0,9734602363.0,216739184.0,18742439944.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,9.734.602.363,216.739.184,9.951.341.547,,9734602363.0,216739184.0,9951341547.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(1.156.769.381),(9.728.560.693),(216.739.184),(11.102.069.258),-1156769381.0,-9728560693.0,-216739184.0,-11102069258.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(229.945.392),(6.041.670),-,(235.987.062),-229945392.0,-6041670.0,,-235987062.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(1.386.714.773),(9.734.602.363),(216.739.184),(11.338.056.320),-1386714773.0,-9734602363.0,-216739184.0,-11338056320.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.634.329.016,6.041.670,-,7.640.370.686,7634329016.0,6041670.0,,7640370686.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,7.404.383.624,-,-,7.404.383.624,7404383624.0,,,7404383624.0
