row_label_raw,row_label_full,Buildings and structures,5 - 48 years,numeric__5 - 48 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,5 - 20 years,
Means of transportation,Means of transportation,Means of transportation,5 - 20 years,
Office equipment,Office equipment,Office equipment,3 - 10 years,
Land use rights,Land use rights,Land use rights,22 - 50 years,
Computer software,Computer software,Computer software,3 - 8 years,
Others,Others,Others,1 - 20 years,
