row_label_raw,row_label_full,Name of associates,Ending balance > Cost,Ending balance > Provision,Beginning balance > Cost,Beginning balance > Provision,numeric__Ending balance > Cost,numeric__Ending balance > Provision,numeric__Beginning balance > Cost,numeric__Beginning balance > Provision
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,"49,990,000,000",-,"49,990,000,000",-,,,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,-,-,"93,800,000,000","(13,484,045,236)",,,,
TOTAL,TOTAL,TOTAL,"49,990,000,000",-,"143,790,000,000","(13,484,045,236)",,,,
