row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Revenue from sales of electricity,Revenue from sales of electricity,Revenue from sales of electricity,"549,518,696,003","540,621,081,374",,
Revenue from sales of equipment,Revenue from sales of equipment,Revenue from sales of equipment,"127,458,977,639","17,032,208,770",,
Revenue from rendering of services,Revenue from rendering of services,Revenue from rendering of services,"28,653,807,279","29,609,831,922",,
TOTAL,TOTAL,TOTAL,"705,631,480,921","587,263,122,066",,
In which:,In which:,In which:,In which:,In which:,,
Third parties,Third parties,Third parties,"551,808,025,831","537,567,734,428",,
Related parties (Note 28),Related parties (Note 28),Related parties (Note 28),"153,823,455,090","49,695,387,638",,
