row_label_raw,row_label_full,Name of subsidiaries,Ending balance > Cost,Ending balance > Provision,Beginning balance > Cost,Beginning balance > Provision,numeric__Ending balance > Cost,numeric__Ending balance > Provision,numeric__Beginning balance > Cost,numeric__Beginning balance > Provision
Gia Lai Hydropower Joint Stock Company (*),Gia Lai Hydropower Joint Stock Company (*),Gia Lai Hydropower Joint Stock Company (*),"544,162,584,932",-,"544,162,584,932",-,,,,
Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,"1,360,624,800,000","(2,507,235,859)","1,360,624,800,000","(196,688,597,020)",,,,
TTC Duc Hue - Long An Electricity Joint Stock Company (*),TTC Duc Hue - Long An Electricity Joint Stock Company (*),TTC Duc Hue - Long An Electricity Joint Stock Company (*),"1,037,312,640,000",-,"1,037,312,640,000",-,,,,
VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,"590,990,260,000",-,"590,990,260,000","(2,925,430,748)",,,,
Truc Son Solar Power Plant Joint Stock Company,Truc Son Solar Power Plant Joint Stock Company,Truc Son Solar Power Plant Joint Stock Company,"348,843,130,000",-,"348,843,130,000",-,,,,
Ia Bang Wind Electricity Joint Stock Company,Ia Bang Wind Electricity Joint Stock Company,Ia Bang Wind Electricity Joint Stock Company,"258,000,000,000",-,"258,000,000,000",-,,,,
VI-JA Renewable Energy Development Cooperation Joint Stock Company (*),VI-JA Renewable Energy Development Cooperation Joint Stock Company (*),VI-JA Renewable Energy Development Cooperation Joint Stock Company (*),"148,500,000,000",-,"148,500,000,000",-,,,,
Thuong Lo Hydropower One - Member Limited Company,Thuong Lo Hydropower One - Member Limited Company,Thuong Lo Hydropower One - Member Limited Company,"81,206,201,240",-,"81,206,201,240",-,,,,
Tien Giang Renewable Energy Joint Stock Company,Tien Giang Renewable Energy Joint Stock Company,Tien Giang Renewable Energy Joint Stock Company,"3,400,000,000","(229,908,368)","3,400,000,000","(190,161,233)",,,,
Gia Lai Consultancy And Energy Development One Member Limited Company,Gia Lai Consultancy And Energy Development One Member Limited Company,Gia Lai Consultancy And Energy Development One Member Limited Company,"1,500,000,000",-,"1,500,000,000",-,,,,
Ca Mau Green Energy Joint Stock Company,Ca Mau Green Energy Joint Stock Company,Ca Mau Green Energy Joint Stock Company,"1,900,000,000","(120,103,613)","1,900,000,000","(79,207,180)",,,,
Tan Thanh Renewable Power Joint Stock Company,Tan Thanh Renewable Power Joint Stock Company,Tan Thanh Renewable Power Joint Stock Company,"24,000,000,000","(512,117,226)","5,000,000,000","(83,952,963)",,,,
TOTAL,TOTAL,TOTAL,"4,400,439,616,172","(3,369,365,066)","4,381,439,616,172","(199,967,349,144)",,,,
