row_label_raw,row_label_full,Related party,Transaction,Current year,Previous year,numeric__Transaction,numeric__Current year,numeric__Previous year
VPL Energy,VPL Energy,VPL Energy,Borrowings repayment,"323,000,000,000","133,008,860,276",,,
VPL Energy,VPL Energy,VPL Energy,Borrowings,"140,000,000,000","437,008,860,276",,,
VPL Energy,VPL Energy,VPL Energy,Interest expenses,"15,552,191,782","13,159,777,002",,,
VPL Energy,VPL Energy,VPL Energy,Revenue from sale of goods and rendering of services,"1,183,641,000","1,284,681,000",,,
VPL Energy,VPL Energy,VPL Energy,Dividend income,-,"29,549,513,000",,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Lending collection,"168,900,000,000",-,,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Interest income,"4,496,895,890","15,092,256,168",,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Revenue from sale of goods and rendering of services,"30,657,600","230,722,000",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Revenue from sales of equipment,"114,940,112,330","5,690,804,240",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Borrowings,"70,000,000,000","125,000,000,000",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Dividend income,"65,400,126,400","28,028,625,600",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Interest expense,"2,527,671,235","4,923,780,822",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Revenue from sale of goods and rendering of services,"2,452,320,000","1,671,579,259",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Payment on behalf,"308,370,399","263,397,575",,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Borrowings repayment,-,"157,000,000,000",,,
Gia Lai Hydropower,Gia Lai Hydropower,Gia Lai Hydropower,Dividend income,"59,609,782,000","59,609,782,000",,,
Gia Lai Hydropower,Gia Lai Hydropower,Gia Lai Hydropower,Revenue from sale of goods and rendering of services,"16,827,840,000","17,180,884,000",,,
Gia Lai Hydropower,Gia Lai Hydropower > Gia Lai Hydropower,Gia Lai Hydropower,Revenue from sales of equipment,"3,987,585,309","430,925",,,430.925
Gia Lai Hydropower,Gia Lai Hydropower,Gia Lai Hydropower,Payment on behalf,"483,673,468","480,834,888",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Dividend income,"25,800,000,000","38,700,000,000",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Borrowings,"20,000,000,000","65,000,000,000",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Borrowings repayment,"6,000,000,000","65,000,000,000",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Revenue from sale of goods and rendering of services,"1,607,120,000","1,766,220,000",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Payment on behalf,"120,426,344","162,998,591",,,
Ia Bang Wind Power,Ia Bang Wind Power,Ia Bang Wind Power,Interest expense,"72,493,151","1,935,945,204",,,
Tan Thanh Renewable Power,Tan Thanh Renewable Power,Tan Thanh Renewable Power,Capital contribution,"19,000,000,000","5,000,000,000",,,
VI-JA,VI-JA,VI-JA,Revenue from sale of goods and rendering of services,"8,482,320,000","17,043,534,529",,,
VI-JA,VI-JA,VI-JA,Payment on behalf,"241,671,154","323,917,808",,,
VI-JA,VI-JA,VI-JA,Borrowings,-,"16,000,000,000",,,
VI-JA,VI-JA,VI-JA,Borrowings repayment,-,"16,000,000,000",,,
VI-JA,VI-JA,VI-JA,Dividend income,-,"2,970,000,000",,,
Thanh Thanh Nam,Thanh Thanh Nam,Thanh Thanh Nam,Purchase of services,"6,398,315,828","5,958,382,630",,,
