row_label_raw,row_label_full,Related party,Transaction,Ending balance,Beginning balance,numeric__Transaction,numeric__Ending balance,numeric__Beginning balance
Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,,,
TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,TTC Duc Hue - Long An Electricity,Sales of equipment,"54,083,370,800",-,,,
TTC Attapeu Sugar Cane,TTC Attapeu Sugar Cane,TTC Attapeu Sugar Cane,Services rendered,-,"57,000,000",,,
Agris Ninh Hoa Import Export,Agris Ninh Hoa Import Export,Agris Ninh Hoa Import Export,Services rendered,-,"37,908,000",,,
TTC Circular Agrotech,TTC Circular Agrotech,TTC Circular Agrotech,Services rendered,-,"37,500,000",,,
Ninh Hoa Thermal Power,Ninh Hoa Thermal Power,Ninh Hoa Thermal Power,Services rendered,-,"30,348,000",,,
Ninh Hoa Clean Energy,Ninh Hoa Clean Energy,Ninh Hoa Clean Energy,Services rendered,-,"8,748,000",,,
Bien Hoa - Phan Rang Sugar,Bien Hoa - Phan Rang Sugar,Bien Hoa - Phan Rang Sugar,Services rendered,-,"8,748,000",,,
,,,,"54,083,370,800","180,252,000",,,
Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,,,
Tan Dinh Import Export,Tan Dinh Import Export,Tan Dinh Import Export,Purchase of goods and services,-,"175,750,000",,,
