row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"547,772,436,021","76,833,007,359",,
Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"9,480,087,131","86,253,912,669",,
Tax losses for which no deferred income tax assets was recognized,Tax losses for which no deferred income tax assets was recognized,Tax losses for which no deferred income tax assets was recognized,-,"44,632,176,172",,
Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,"(44,632,176,172)",-,,
Interest expenses under Decree No. 20/2025/ND-CP,Interest expenses under Decree No. 20/2025/ND-CP,Interest expenses under Decree No. 20/2025/ND-CP,"(116,029,909,550)",-,,
Income not subject to tax,Income not subject to tax,Income not subject to tax,"(156,809,908,400)","(207,719,096,200)",,
Taxable income,Taxable income,Taxable income,"239,780,529,030",-,,
Taxable income at the tax rate of 20%,Taxable income at the tax rate of 20%,Taxable income at the tax rate of 20%,"138,978,132,105",-,,
Taxable income at the tax rate of 10%,Taxable income at the tax rate of 10%,Taxable income at the tax rate of 10%,"100,802,396,925",-,,
Corporate income tax,Corporate income tax,Corporate income tax,"37,875,866,114",-,,
Tax exemption or deduction,Tax exemption or deduction,Tax exemption or deduction,"(2,964,942,849)",-,,
Adjustment for under accrual of tax from prior years,Adjustment for under accrual of tax from prior years,Adjustment for under accrual of tax from prior years,-,"713,356,776",,
Current CIT expense,Current CIT expense,Current CIT expense,"34,910,923,265","713,356,776",,
