row_label_raw,row_label_full,col_0,VND,VND_1,VND_2,VND_3,numeric__VND,numeric__VND_1,numeric__VND_2,numeric__VND_3
,,,Beginning balance,Increase in year,Decrease in year,Ending balance,,,,
Payables,Payables,Payables,Payables,Payables,Payables,Payables,,,,
Corporate income tax,Corporate income tax,Corporate income tax,-,"34,910,923,265",-,"34,910,923,265",,,,
Natural resource tax,Natural resource tax,Natural resource tax,"2,033,196,255","23,910,203,750","(22,882,597,505)","3,060,802,500",,,,
Value added tax,Value added tax,Value added tax,"2,458,526,814","59,915,615,161","(59,982,630,577)","2,391,511,398",,,,
Personal income tax,Personal income tax,Personal income tax,"1,579,778,522","6,509,387,132","(6,430,644,779)","1,658,520,875",,,,
Other taxes and fees,Other taxes and fees,Other taxes and fees,-,"7,784,061,738","(7,677,547,920)","106,513,818",,,,
TOTAL,TOTAL,TOTAL,"6,071,501,591","133,030,191,046","(96,973,420,781)","42,128,271,856",,,,
,,,Beginning balance,Increase in year,Decrease in year,Ending balance,,,,
Receivables,Receivables,Receivables,Receivables,Receivables,Receivables,Receivables,,,,
Other taxes and fee,Other taxes and fee,Other taxes and fee,-,"28,596,819",-,"28,596,819",,,,
TOTAL,TOTAL,TOTAL,-,"28,596,819",-,"28,596,819",,,,
