row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
10,10,10,1. Net revenue from sale of goods and rendering of services,22.1,"705,631,480,921","587,263,122,066",,221.0,,
11,11,11,2. Cost of goods sold and services rendered,23,"(390,579,205,709)","(276,325,648,265)",,23.0,,
20,20,20,3. Gross profit from sale of goods and rendering of services,,"315,052,275,212","310,937,473,801",,,,
21,20 > 21,21,4. Finance income,22.2,"305,944,464,029","229,792,536,299",,222.0,,
22,20 > 22,22,5. Finance expenses,24,"58,191,308,042","(359,422,135,386)",,24.0,,
23,23,23,In which: Interest expense,,"(133,621,728,681)","(219,866,767,192)",,,,
26,23 > 26,26,6. General and administrative expenses,25,"(131,551,406,198)","(104,976,051,505)",,25.0,,
30,30,30,7. Operating profit,,"547,636,641,085","76,331,823,209",,,,
31,31,31,8. Other income,,"1,296,353,363","1,749,223,930",,,,
32,32,32,9. Other expenses,,"(1,160,558,427)","(1,248,039,780)",,,,
40,40,40,10. Other profit,,"135,794,936","501,184,150",,,,
50,50,50,11. Accounting profit before tax,,"547,772,436,021","76,833,007,359",,,,
51,50 > 51,51,12. Current corporate income tax expense,27.2,"(34,910,923,265)","(713,356,776)",,272.0,,
60,60,60,13. Net profit after tax,,"512,861,512,756","76,119,650,583",,,,
