row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,34.910.923.265,-,34.910.923.265,,34910923265.0,,34910923265.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,2.033.196.255,23.910.203.750,(22.882.597.505),3.060.802.500,2033196255.0,23910203750.0,-22882597505.0,3060802500.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.458.526.814,59.915.615.161,(59.982.630.577),2.391.511.398,2458526814.0,59915615161.0,-59982630577.0,2391511398.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.579.778.522,6.509.387.132,(6.430.644.779),1.658.520.875,1579778522.0,6509387132.0,-6430644779.0,1658520875.0
Các loại thuế và phí khác,Phải nộp > Các loại thuế và phí khác,Các loại thuế và phí khác,-,7.784.061.738,(7.677.547.920),106.513.818,,7784061738.0,-7677547920.0,106513818.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,6.071.501.591,133.030.191.046,(96.973.420.781),42.128.271.856,6071501591.0,133030191046.0,-96973420781.0,42128271856.0
,,,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Các loại thuế và phí khác,Phải thu > Các loại thuế và phí khác,Các loại thuế và phí khác,-,28.596.819,-,28.596.819,,28596819.0,,28596819.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,28.596.819,-,28.596.819,,28596819.0,,28596819.0
