row_label_raw,row_label_full,col_0,Buildings and structures,Machinery and equipment,Means of transportation,Office equipment,Others,VND Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Means of transportation,numeric__Office equipment,numeric__Others,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"1,035,226,568,284","1,737,346,232,903","190,744,111,215","38,085,594,380","30,315,741,081","3,031,718,247,863",,,,,,
New purchases,New purchases,New purchases,"299,647,974","1,977,934,724","3,959,127,327","1,421,834,407","38,600,000","7,697,144,432",,,,,,
Other increase,Other increase,Other increase,-,"333,915,751",-,-,-,"333,915,751",,,,,,
Disposal,Disposal,Disposal,"(30,633,658)","(320,630,981)","(2,939,119,764)","(40,857,537)","(402,231,014)","(3,733,472,954)",,,,,,
Other decrease,Other decrease,Other decrease,-,"(981,109,336)",-,-,-,"(981,109,336)",,,,,,
Ending balance,Ending balance,Ending balance,"1,035,495,582,600","1,738,356,343,061","191,764,118,778","39,466,571,250","29,952,110,067","3,035,034,725,756",,,,,,
In which: Fully depreciated,In which: Fully depreciated,In which: Fully depreciated,"34,139,969,686","25,421,534,040","8,638,739,895","10,796,219,499","16,299,635,485","95,296,098,605",,,,,,
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"(452,656,704,468)","(655,850,930,075)","(95,080,242,968)","(32,899,495,456)","(21,188,025,566)","(1,257,675,398,533)",,,,,,
Depreciation for the year,Depreciation for the year,Depreciation for the year,"(40,555,613,794)","(85,981,110,815)","(8,352,652,601)","(2,658,326,414)","(1,928,928,392)","(139,476,632,016)",,,,,,
Disposal,Disposal,Disposal,"30,633,658","320,630,981","2,848,549,639","40,857,537","402,231,014","3,642,902,829",,,,,,
Other decrease,Other decrease,Other decrease,-,"52,956,023",-,-,-,"52,956,023",,,,,,
Ending balance,Ending balance,Ending balance,"(493,181,684,604)","(741,458,453,886)","(100,584,345,930)","(35,516,964,333)","(22,714,722,944)","(1,393,456,171,697)",,,,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"582,569,863,816","1,081,495,302,828","95,663,868,247","5,186,098,924","9,127,715,515","1,774,042,849,330",,,,,,
Ending balance,Ending balance,Ending balance,"542,313,897,996","996,897,889,175","91,179,772,848","3,949,606,917","7,237,387,123","1,641,578,554,059",,,,,,
In which: Pledged as loan security (Note 18),In which: Pledged as loan security (Note 18),In which: Pledged as loan security (Note 18),"540,273,719,230","995,651,966,871","86,793,962,492","2,004,580,539","4,660,628,104","1,629,384,857,236",,,,,,
