row_label_raw,row_label_full,Bank,Ending balance VND,Maturity,Interest rate % p.a.,Description of collateral,numeric__Ending balance VND,numeric__Maturity,numeric__Interest rate % p.a.,numeric__Description of collateral
BIDV – Gia Dinh Branch,BIDV – Gia Dinh Branch,BIDV – Gia Dinh Branch,"51,429,214,142",From 27 April to 11 September 2026,7.6 – 8.4%,"All properties attached at land number 257, 258, Map No. 01 Dien Loc, Phong Dien, Hue City and machinery, equipment (Note 11)",,,,
Vietcombank - Gia Lai Branch,BIDV – Gia Dinh Branch > Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,"6,559,861,225",31 October 2026,6.0%,"All properties attached at the land located at 114 Truong Chinh Street, Pleiku Ward, Gia Lai Province, and the Ayun Thuong 1A Hydropower Plant (12 MW), and all related machinery and equipment (Note 11)",,,0.6,
TOTAL,TOTAL,TOTAL,"57,989,075,367",,,,,,,
