row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Depreciation and amortization (Notes 11 and 12),Depreciation and amortization (Notes 11 and 12),Depreciation and amortization (Notes 11 and 12),"139,712,619,078","142,686,939,981",,
Cost of equipment rendered,Cost of equipment rendered,Cost of equipment rendered,"124,497,709,614","16,148,059,273",,
Labour costs,Labour costs,Labour costs,"95,230,565,729","78,146,252,473",,
Expenses for external services,Expenses for external services,Expenses for external services,"71,684,147,379","71,077,272,375",,
Raw materials,Raw materials,Raw materials,"34,850,846,778","25,459,712,151",,
Others,Others,Others,"56,154,723,329","47,783,463,517",,
TOTAL,TOTAL,TOTAL,"522,130,611,907","381,301,699,770",,
