row_label_raw,row_label_full,Mr Tan Xuan Hien,Chairman,col_2,numeric__Chairman,numeric__col_2
Mr Nguyen The Vinh,Mr Nguyen The Vinh,Mr Nguyen The Vinh,Independent Member,,,
Ms Nguyen Thuy Van,Ms Nguyen Thuy Van,Ms Nguyen Thuy Van,Independent Member,,,
Ms Pham Thi Khue,Ms Pham Thi Khue,Ms Pham Thi Khue,Independent Member,,,
Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Member,,,
Mr Eiji Hagio,Mr Eiji Hagio,Mr Eiji Hagio,Member,appointed on 29 April 2025,,
Mr Mark Houghton Scott Leslie,Mr Mark Houghton Scott Leslie,Mr Mark Houghton Scott Leslie,Member,appointed on 29 April 2025,,
Mr Simon Mark Wilson,Mr Simon Mark Wilson,Mr Simon Mark Wilson,Member,resigned on 29 April 2025,,
Mr Toshihiro Oki,Mr Toshihiro Oki,Mr Toshihiro Oki,Member,resigned on 29 April 2025,,
