row_label_raw,row_label_full,col_0,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
,,,Number of shares (Share),Ownership (%),Number of shares (Share),Ownership (%),,,,
Jera Asia Vietnam Holdings Pte. Ltd,Jera Asia Vietnam Holdings Pte. Ltd,Jera Asia Vietnam Holdings Pte. Ltd,"125,756,637",35.10,"125,756,637",35.10,,3510.0,,3510.0
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,"60,161,979",16.79,"60,161,979",16.79,,1679.0,,1679.0
Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,"39,376,509",10.99,"39,376,509",10.99,,1099.0,,1099.0
Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,"22,668,931",6.33,"22,668,931",6.33,,633.0,,633.0
Bien Hoa Consumer Joint Stock Company,Bien Hoa Consumer Joint Stock Company,Bien Hoa Consumer Joint Stock Company,"18,912,980",5.28,"18,912,980",5.28,,528.0,,528.0
Thanh Thanh Cong Industrial Zone Joint Stock Company,Thanh Thanh Cong Industrial Zone Joint Stock Company,Thanh Thanh Cong Industrial Zone Joint Stock Company,"13,740,838",3.83,"13,740,838",3.83,,383.0,,383.0
Others,Others,Others,"77,690,497",21.68,"77,690,497",21.68,,2168.0,,2168.0
TOTAL,TOTAL,TOTAL,"358,308,371",100.00,"358,308,371",100.00,,10000.0,,10000.0
