row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịquản lý,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịquản lý,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.035.226.568.284,1.737.346.232.903,190.744.111.215,38.085.594.380,30.315.741.081,3.031.718.247.863,1035226568284.0,1737346232903.0,190744111215.0,38085594380.0,30315741081.0,3031718247863.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,299.647.974,1.977.934.724,3.959.127.327,1.421.834.407,38.600.000,7.697.144.432,299647974.0,1977934724.0,3959127327.0,1421834407.0,38600000.0,7697144432.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,-,333.915.751,-,-,-,333.915.751,,333915751.0,,,,333915751.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(30.633.658),(320.630.981),(2.939.119.764),(40.857.537),(402.231.014),(3.733.472.954),-30633658.0,-320630981.0,-2939119764.0,-40857537.0,-402231014.0,-3733472954.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(981.109.336),-,-,-,(981.109.336),,-981109336.0,,,,-981109336.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.035.495.582.600,1.738.356.343.061,191.764.118.778,39.466.571.250,29.952.110.067,3.035.034.725.756,1035495582600.0,1738356343061.0,191764118778.0,39466571250.0,29952110067.0,3035034725756.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,34.139.969.686,25.421.534.040,8.638.739.895,10.796.219.499,16.299.635.485,95.296.098.605,34139969686.0,25421534040.0,8638739895.0,10796219499.0,16299635485.0,95296098605.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(452.656.704.468),(655.850.930.075),(95.080.242.968),(32.899.495.456),(21.188.025.566),(1.257.675.398.533),-452656704468.0,-655850930075.0,-95080242968.0,-32899495456.0,-21188025566.0,-1257675398533.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(40.555.613.794),(85.981.110.815),(8.352.652.601),(2.658.326.414),(1.928.928.392),(139.476.632.016),-40555613794.0,-85981110815.0,-8352652601.0,-2658326414.0,-1928928392.0,-139476632016.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,30.633.658,320.630.981,2.848.549.639,40.857.537,402.231.014,3.642.902.829,30633658.0,320630981.0,2848549639.0,40857537.0,402231014.0,3642902829.0
Giảm khác,Giá trị khấu hao lũy kế: > Giảm khác,Giảm khác,-,52.956.023,-,-,-,52.956.023,,52956023.0,,,,52956023.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(493.181.684.604),(741.458.453.886),(100.584.345.930),(35.516.964.333),(22.714.722.944),(1.393.456.171.697),-493181684604.0,-741458453886.0,-100584345930.0,-35516964333.0,-22714722944.0,-1393456171697.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,582.569.863.816,1.081.495.302.828,95.663.868.247,5.186.098.924,9.127.715.515,1.774.042.849.330,582569863816.0,1081495302828.0,95663868247.0,5186098924.0,9127715515.0,1774042849330.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,542.313.897.996,996.897.889.175,91.179.772.848,3.949.606.917,7.237.387.123,1.641.578.554.059,542313897996.0,996897889175.0,91179772848.0,3949606917.0,7237387123.0,1641578554059.0
"Trong đó:Tải sản cầm cố, thế chấp(TM số 18)","Giá trị còn lại: > Trong đó:Tải sản cầm cố, thế chấp(TM số 18)","Trong đó:Tải sản cầm cố, thế chấp(TM số 18)",540.273.719.230,995.651.966.871,86.793.962.492,2.004.580.539,4.660.628.104,1.629.384.857.236,540273719230.0,995651966871.0,86793962492.0,2004580539.0,4660628104.0,1629384857236.0
