row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Current CIT expense,Current CIT expense,Current CIT expense,"34,910,923,265",-,,
Adjustment for under accrual of tax from prior years,Adjustment for under accrual of tax from prior years,Adjustment for under accrual of tax from prior years,-,"713,356,776",,
TOTAL,TOTAL,TOTAL,"34,910,923,265","713,356,776",,
