row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2021,Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2021,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2021
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,7.509.877,-,-,-,-,7.509.877,,,7509877.0,,,,,7509877.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,32.349.574,-,-,-,-,32.349.574,,,32349574.0,,,,,32349574.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,39.957.816,8.611.985,1.248.975,-,-,49.818.776,,,39957816.0,8611985.0,1248975.0,,,49818776.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,11.325.371,-,-,-,-,11.325.371,,,11325371.0,,,,,11325371.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,226.545,-,-,-,-,226.545,,,226545.0,,,,,226545.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.134.020,395.588,20.349.454,50.778.565,153.112.062,24.058.506,111.084.343,361.912.538,2134020.0,395588.0,20349454.0,50778565.0,153112062.0,24058506.0,111084343.0,361912538.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.024.108,1.701.913,2.955.523,13.190.085,40.610.981,59.482.610,,,1024108.0,1701913.0,2955523.0,13190085.0,40610981.0,59482610.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,299.317,299.317,,,,,,,299317.0,299317.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,3.762.548,3.762.548,,,,,,,3762548.0,3762548.0
