row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,855.886,723.927,1.579.813,855886.0,723927.0,1579813.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,34.183,34.183,,34183.0,34183.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),24.148,77.724,101.872,24148.0,77724.0,101872.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.022),(1.022),,-1022.0,-1022.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(5.725),367,(5.358),-5725.0,367.0,-5358.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,874.309,835.179,1.709.488,874309.0,835179.0,1709488.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,502.335,502.335,,502335.0,502335.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,148,76.383,76.531,148.0,76383.0,76531.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,-,(1.022),(1.022),,-1022.0,-1022.0
Tại ngày 31 tháng 12 năm 2022,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,148,577.696,577.844,148.0,577696.0,577844.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,855.886,221.592,1.077.478,855886.0,221592.0,1077478.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,874.161,257.483,1.131.644,874161.0,257483.0,1131644.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2022,31.12.2021,,31122022.0,31122021.0
,,,,Triệu VND,Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,,380.713,223.303,,380713.0,223303.0
