row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Miền BắcTriệu VND > Tại ngày 31 tháng 12 năm 2022,Miền TrungTriệu VND > Tại ngày 31 tháng 12 năm 2022,Miền NamTriệu VND > Tại ngày 31 tháng 12 năm 2022,Loại trừTriệu VND > Tại ngày 31 tháng 12 năm 2022,Tổng cộngTriệu VND > Tại ngày 31 tháng 12 năm 2022,numeric__Miền BắcTriệu VND > Tại ngày 31 tháng 12 năm 2022,numeric__Miền TrungTriệu VND > Tại ngày 31 tháng 12 năm 2022,numeric__Miền NamTriệu VND > Tại ngày 31 tháng 12 năm 2022,numeric__Loại trừTriệu VND > Tại ngày 31 tháng 12 năm 2022,numeric__Tổng cộngTriệu VND > Tại ngày 31 tháng 12 năm 2022
Tài sản,Tài sản,Tài sản,86.875.381,64.568.858,589.651.441,(133.220.495),607.875.185,86875381.0,64568858.0,589651441.0,-133220495.0,607875185.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,84.784.267,62.881.838,531.315.549,(129.545.132),549.436.522,84784267.0,62881838.0,531315549.0,-129545132.0,549436522.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,
Kết quả kinh doanh bộ phận,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.113.741,1.687.022,13.454.496,(141.051),17.114.208,2113741.0,1687022.0,13454496.0,-141051.0,17114208.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,,,,,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,,
Tài sản,Tại ngày 31 tháng 12 năm 2021 > Tài sản,Tài sản,78.046.627,55.803.147,519.123.262,(125.203.092),527.769.944,78046627.0,55803147.0,519123262.0,-125203092.0,527769944.0
Nợ phải trả,Tại ngày 31 tháng 12 năm 2021 > Nợ phải trả,Nợ phải trả,76.587.223,54.742.471,473.159.684,(121.620.343),482.869.035,76587223.0,54742471.0,473159684.0,-121620343.0,482869035.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,
Kết quả kinh doanh bộ phận,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.472.009,1.075.449,9.,,,1472009.0,1075449.0,9.0,,
Nguyễn Văn Hòa,Nguyễn Văn Hòa,Nguyễn Văn Hòa,Từ Tiến Phát,Từ Tiến Phát,Trần Hùng Huy,Trần Hùng Huy,Trần Hùng Huy,,,,,
Kế toán trường,Kế toán trường,Kế toán trường,Tổng Giám đốc,Tổng Giám đốc,Chủ tịch Hội đồng Quản trị,Chủ tịch Hội đồng Quản trị,Chủ tịch Hội đồng Quản trị,,,,,
,,,Người đại diện theo Pháp luật,Người đại diện theo Pháp luật,Ngày 28 tháng 2 năm 2023,Ngày 28 tháng 2 năm 2023,Ngày 28 tháng 2 năm 2023,,,,,
