row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2022 Triệu VND,Tại ngày > 31.12.2021 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2022 Triệu VND,numeric__Tại ngày > 31.12.2021 Triệu VND
1,1,1,Bảo lãnh vay vốn,39.1,55.386,62.456,,391.0,55386.0,62456.0
2,2,2,Cam kết giao dịch hối đoái,39.1,62.044.742,77.700.895,,391.0,62044742.0,77700895.0
2,2,2,Cam kết mua ngoại tệ,,946.516,568.404,,,946516.0,568404.0
2,2,2,Cam kết bán ngoại tệ,,1.178.698,579.774,,,1178698.0,579774.0
2,2,2,Cam kết giao dịch hoán đổi,,59.919.528,76.552.717,,,59919528.0,76552717.0
4,4,4,Cam kết trong nghiệp vụ L/C,39.1,2.777.938,4.005.740,,391.0,2777938.0,4005740.0
5,5,5,Bảo lãnh khác,39.1,9.579.729,8.389.456,,391.0,9579729.0,8389456.0
6,6,6,Các cam kết khác,39.1,6.490.910,4.655.536,,391.0,6490910.0,4655536.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,40,1.170.894,1.893.418,,40.0,1170894.0,1893418.0
8,8,8,Nợ khó đòi đã xử lý,41,6.757.296,6.909.849,,41.0,6757296.0,6909849.0
9,9,9,Tài sân và chứng từ khác,42,968.751,804.375,,42.0,968751.0,804375.0
