row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,VND,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,numeric__VND,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",6.573.090,850.575,71.918,1.459,3.144,4.218,2.202,3.271,7.509.877,6573090.0,850575.0,71918.0,1459.0,3144.0,4218.0,2202.0,3271.0,7509877.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,7.917.063,24.432.511,-,-,-,-,-,-,32.349.574,7917063.0,24432511.0,,,,,,,32349574.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),34.749.843,12.544.168,-,194.160,2.231.556,62.094,10.900,26.055,49.818.776,34749843.0,12544168.0,,194160.0,2231556.0,62094.0,10900.0,26055.0,49818776.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),11.325.371,-,-,-,-,-,-,-,11.325.371,11325371.0,,,,,,,,11325371.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,23.732.554,(21.972.807),-,96,(1.533.298),-,-,-,226.545,23732554.0,-21972807.0,,96.0,-1533298.0,,,,226545.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),353.948.907,7.876.218,87.413,-,-,-,-,-,361.912.538,353948907.0,7876218.0,87413.0,,,,,,361912538.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),59.482.610,-,-,-,-,-,-,-,59.482.610,59482610.0,,,,,,,,59482610.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",299.317,-,-,-,-,-,-,-,299.317,299317.0,,,,,,,,299317.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.762.548,-,-,-,-,-,-,-,3.762.548,3762548.0,,,,,,,,3762548.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,216.027,-,-,-,-,-,-,-,216.027,216027.0,,,,,,,,216027.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),5.796.531,1.279.426,4.108,16.931,12.330,-,9,13,7.109.348,5796531.0,1279426.0,4108.0,16931.0,12330.0,,9.0,13.0,7109348.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,507.803.861,25.010.091,163.439,212.646,713.732,66.312,13.111,29.339,534.012.531,507803861.0,25010091.0,163439.0,212646.0,713732.0,66312.0,13111.0,29339.0,534012531.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,37.857.063,16.507.668,-,16.898,12.310,-,-,-,54.393.939,37857063.0,16507668.0,,16898.0,12310.0,,,,54393939.0
