row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2021 > Bằng đồng Việt Nam Triệu VND,Tại ngày 31 tháng 12 năm 2021 > Bằng ngoại tệ Triệu VND,Tại ngày 31 tháng 12 năm 2021 > Tổng cộng Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2021 > Bằng đồng Việt Nam Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2021 > Bằng ngoại tệ Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2021 > Tổng cộng Triệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,62.456,-,62.456,62456.0,,62456.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,36.778.386,40.922.509,77.700.895,36778386.0,40922509.0,77700895.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,1.921.712,1.921.712,,1921712.0,1921712.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,401.371,1.682.657,2.084.028,401371.0,1682657.0,2084028.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,2.225.769,46.777,2.272.546,2225769.0,46777.0,2272546.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.342.269,37.508,1.379.777,1342269.0,37508.0,1379777.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,326.249,277,326.526,326249.0,277.0,326526.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,4.300.328,110.279,4.410.607,4300328.0,110279.0,4410607.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,4.655.536,-,4.655.536,4655536.0,,4655536.0
,,,50.092.364,44.721.719,94.814.083,50092364.0,44721719.0,94814083.0
