row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2022Triệu VND,Năm 2021Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2022Triệu VND,numeric__Năm 2021Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(511.513),(636.100),,,-511513.0,-636100.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,4.741,3.265,,,4741.0,3265.0
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,85.364,148.453,,,85364.0,148453.0
07,07,07,"Tiền chỉ đầu tư, góp vốn vào các đơn vị khác",,(10.520),-,,,-10520.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,6.451,-,,,6451.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,59.599,21.979,,,59599.0,21979.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(365.878),(462.403),,,-365878.0,-462403.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,-,(2.884.000),,,,-2884000.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,-,(2.884.000),,,,-2884000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,20.908.661,36.579.496,,,20908661.0,36579496.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,82.601.567,46.022.071,,,82601567.0,46022071.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,35,103.510.228,82.601.567,,35.0,103510228.0,82601567.0
