row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2022Triệu VND,Tại ngày > 31.12.2021Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2022Triệu VND,numeric__Tại ngày > 31.12.2021Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,505.876,-,,15.0,505876.0,
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,505.876,-,,,505876.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,67.840.840,54.393.939,,16.0,67840840.0,54393939.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,60.002.732,41.380.571,,,60002732.0,41380571.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,7.838.108,13.013.368,,,7838108.0,13013368.0
III,B > III,III,Tiền gửi của khách hàng,17,413.952.789,379.920.669,,17.0,413952789.0,379920669.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,60.188,86.066,,18.0,60188.0,86066.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,44.304.367,30.547.883,,19.0,44304367.0,30547883.0
VII,B > VII,VII,Các khoản nợ khác,,22.772.462,17.920.478,,,22772462.0,17920478.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.564.271,4.637.581,,,5564271.0,4637581.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,17.208.191,13.282.897,,20.0,17208191.0,13282897.0
,,,TỔNG NỘ PHẢI TRẢ,,549.436.522,482.869.035,,,549436522.0,482869035.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,21,58.438.663,44.900.909,,21.0,58438663.0,44900909.0
1,B > 1,1,Vốn của tổ chức tín dụng,,34.046.130,27.291.260,,,34046130.0,27291260.0
a,B > a,a,Vốn điều lệ,,33.774.351,27.019.481,,,33774351.0,27019481.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,9.220.125,7.164.297,,,9220125.0,7164297.0
5,B > 5,5,Lợi nhuận chưa phân phối,,15.172.408,10.445.352,,,15172408.0,10445352.0
a,B > a,a,Lợi nhuận năm nay,,11.632.365,8.180.532,,,11632365.0,8180532.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,3.540.043,2.264.820,,,3540043.0,2264820.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,58.438.663,44.900.909,,,58438663.0,44900909.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,607.875.185,527.769.944,,,607875185.0,527769944.0
