row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,2.605.169,1.881.960,476.634,159.651,5.123.414,2605169.0,1881960.0,476634.0,159651.0,5123414.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,728,347.406,78.242,8.635,435.011,728.0,347406.0,78242.0,8635.0,435011.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),7.507,13.678,-,58,21.243,7507.0,13678.0,,58.0,21243.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(46.277),(19.964),(6.154),(72.395),,-46277.0,-19964.0,-6154.0,-72395.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,18.039,(1.526),1,-,16.514,18039.0,-1526.0,1.0,,16514.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.631.443,2.195.241,534.913,162.190,5.523.787,2631443.0,2195241.0,534913.0,162190.0,5523787.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,630.391,1.379.972,277.781,150.200,2.438.344,630391.0,1379972.0,277781.0,150200.0,2438344.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,68.377,198.828,36.719,3.937,307.861,68377.0,198828.0,36719.0,3937.0,307861.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,-,(46.251),(19.745),(6.154),(72.150),,-46251.0,-19745.0,-6154.0,-72150.0
Tại ngày 31 tháng 12 năm 2022,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,698.768,1.532.549,294.755,147.983,2.674.055,698768.0,1532549.0,294755.0,147983.0,2674055.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.974.778,501.988,198.853,9.451,2.685.070,1974778.0,501988.0,198853.0,9451.0,2685070.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,1.932.675,662.692,240.158,14.207,2.849.732,1932675.0,662692.0,240158.0,14207.0,2849732.0
