row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Tại ngày 31 tháng 12 năm 2021","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Dưới 1 tháng","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ 1 đến 3 tháng","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 3 đến 6 tháng","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 6 đến 12 tháng","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 1 đến 5 năm",Mẫu B05/TCTD-HN(Ban hành theo Thông tư số 49/2014/TT-NHNNngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Trên 5 năm,Mẫu B05/TCTD-HN(Ban hành theo Thông tư số 49/2014/TT-NHNNngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau:,"numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Dưới 1 tháng","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ 1 đến 3 tháng","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 3 đến 6 tháng","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 6 đến 12 tháng","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Từ trên 1 đến 5 năm",numeric__Mẫu B05/TCTD-HN(Ban hành theo Thông tư số 49/2014/TT-NHNNngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau: > Trên 5 năm,numeric__Mẫu B05/TCTD-HN(Ban hành theo Thông tư số 49/2014/TT-NHNNngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam) > Bảng dưới đây thể hiện lãi suất thực tế của những công cụ tài chính chịu lãi với thời hạn và đơn vị tiền tệ khác nhau:
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0% - 0,5%",(*),(*),(*),(*),(*),,,,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,0%,(*),(*),(*),(*),(*),,0.0,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0% - 3,5%","1,6% - 3%",(*),(*),(*),(*),,,,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,25% - 0,33%","0,3% - 0,6%",(*),(*),(*),(*),,,,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,0% - 30%,0% - 42%,"4,8% - 19%","6,5% - 13%",6% - 12%,(*),,,,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"3% - 5,1%","3% - 5,1%","3% - 3,9%",(*),(*),(*),,,,,,,,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,"6,0%",10%,"6,38% - 9,15%","5,6% - 7,7%","5,7% - 6,3%","2,2% - 7,8%",,0.06,0.1,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,,,,,,,,,,,,,,
▪ VND,Các khoản nợ Chính phủ và NHNNVN > ▪ VND,▪ VND,(*),"3,3%","3,3%",(*),(*),(*),,,0.033,0.033,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,"1,9% - 9,45%","1,4% - 9,45%","8,95% - 9,45%","9,15%","9,15%",(*),,,,,0.0915,0.0915,,
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"0,35% - 1,7%","1,6%","0,75%","3,45% - 3,55%",(*),,,,0.016,0.0075,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0% - 9,1%","3,3% - 9,1%","0% - 9,1%","3,75% - 9,2%","3,75% - 9%","3,75% - 5,4%",,,,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,0%,0%,0%,0%,0%,0%,,0.0,0.0,0.0,0.0,0.0,0.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"3,86% - 3,91%",(*),(*),(*),(*),(*),,,,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"3,2%","3,2%","3,2%",(*),(*),,,0.032,0.032,0.032,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"7,4% - 7,5%","3,8% - 7,8%","3,8% - 7,9%","3,7% - 8%","4,3% - 8,6%","7,1% - 7,8%",,,,,,,,
