row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2021,Tỷ giá hối đoái tại ngày > 31/12/2020,numeric__Tỷ giá hối đoái tại ngày > 31/12/2021,numeric__Tỷ giá hối đoái tại ngày > 31/12/2020
USD/VND,USD/VND,USD/VND,22.920,23.130,22920.0,23130.0
EUR/VND,EUR/VND,EUR/VND,25.832,28.385,25832.0,28385.0
GBP/VND,GBP/VND,GBP/VND,"30.808,50",31.567,30808.5,31567.0
CHF/VND,CHF/VND,CHF/VND,"24.988,50",26.212,24988.5,26212.0
JPY/VND,JPY/VND,JPY/VND,"198,08","223,97",198.08,223.97
SGD/VND,SGD/VND,SGD/VND,"16.901,50",17.473,16901.5,17473.0
CAD/VND,CAD/VND,CAD/VND,17.921,18.123,17921.0,18123.0
AUD/VND,AUD/VND,AUD/VND,"16.572,50",17.797,16572.5,17797.0
HKD/VND,HKD/VND,HKD/VND,2.927,3.042,2927.0,3042.0
KRW/VND,KRW/VND,KRW/VND,"19,40",21,19.4,21.0
XAU/VND (chỉ),XAU/VND (chỉ),XAU/VND (chỉ),6.135.000,5.582.500,6135000.0,5582500.0
