row_label_raw,row_label_full,col_0,Dự phòng chungTriệu VND,Dự phòng cụ thểTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Dự phòng cụ thểTriệu VND,numeric__Tổng cộngTriệu VND
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,
Số dư đầu năm,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Số dư đầu năm,Số dư đầu năm,642.348,208.999,851.347,642348.0,208999.0,851347.0
Trích lập dự phòng trong năm (Thuyết minh 34) (*),Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Trích lập dự phòng trong năm (Thuyết minh 34) (*),Trích lập dự phòng trong năm (Thuyết minh 34) (*),119.310,409.828,529.138,119310.0,409828.0,529138.0
Sử dụng dự phòng để xử lý rủi ro trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Sử dụng dự phòng để xử lý rủi ro trong năm,Sử dụng dự phòng để xử lý rủi ro trong năm,-,(96.883),(96.883),,-96883.0,-96883.0
Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),-,(840),(840),,-840.0,-840.0
Số dư cuối năm,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Số dư cuối năm,Số dư cuối năm,761.658,521.104,1.282.762,761658.0,521104.0,1282762.0
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,
Số dư đầu năm,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Số dư đầu năm,Số dư đầu năm,467.941,325.725,793.666,467941.0,325725.0,793666.0
Trích lập dự phòng trong năm (Thuyết minh 34),Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Trích lập dự phòng trong năm (Thuyết minh 34),Trích lập dự phòng trong năm (Thuyết minh 34),174.407,374.277,548.684,174407.0,374277.0,548684.0
Sử dụng dự phòng để xử lý rủi ro trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Sử dụng dự phòng để xử lý rủi ro trong năm,Sử dụng dự phòng để xử lý rủi ro trong năm,-,(207.445),(207.445),,-207445.0,-207445.0
Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),Sử dụng dự phòng các khoản nợ được bán cho VAMC (Thuyết minh 10(iii)),-,(283.558),(283.558),,-283558.0,-283558.0
Số dư cuối năm,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Số dư cuối năm,Số dư cuối năm,642.348,208.999,851.347,642348.0,208999.0,851347.0
