row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sảncó định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tảiTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sảncó định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,422.957,300.690,174.760,34.656,14.406,947.469,422957.0,300690.0,174760.0,34656.0,14406.0,947469.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,163,16.862,155,136,31,17.347,163.0,16862.0,155.0,136.0,31.0,17347.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,37.591,9.596,1.287,428,48.902,,37591.0,9596.0,1287.0,428.0,48902.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(864),(10.548),(773),(766),(12.951),,-864.0,-10548.0,-773.0,-766.0,-12951.0
Chuyển từ tài sản cố định thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,23.917,-,-,23.917,,,23917.0,,,23917.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,423.120,354.279,197.880,35.306,14.099,1.024.684,423120.0,354279.0,197880.0,35306.0,14099.0,1024684.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,127.897,166.526,97.792,27.751,11.286,431.252,127897.0,166526.0,97792.0,27751.0,11286.0,431252.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.832,37.630,20.953,2.392,1.287,78.094,15832.0,37630.0,20953.0,2392.0,1287.0,78094.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(855),(10.443),(769),(766),(12.833),,-855.0,-10443.0,-769.0,-766.0,-12833.0
Chuyển từ tài sản cố định thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,20.717,-,-,20.717,,,20717.0,,,20717.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,143.729,203.301,129.019,29.374,11.807,517.230,143729.0,203301.0,129019.0,29374.0,11807.0,517230.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,295.060,134.164,76.968,6.905,3.120,516.217,295060.0,134164.0,76968.0,6905.0,3120.0,516217.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,279.391,150.978,68.861,5.932,2.292,507.454,279391.0,150978.0,68861.0,5932.0,2292.0,507454.0
