row_label_raw,row_label_full,Năm kết thúc ngày 31/12/2021 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 1.492,Phát sinh trong năm > Số phải nộpTriệu VND > 17.782,Phát sinh trong năm > Số đã nộpTriệu VND > (16.539),Số dưcuối nămTriệu VND > 2.735,numeric__Số dưđầu nămTriệu VND > 1.492,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 17.782,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (16.539),numeric__Số dưcuối nămTriệu VND > 2.735
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.990,68.352,(65.676),14.666,11990.0,68352.0,-65676.0,14666.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,125.023,364.728,(411.221),78.530,125023.0,364728.0,-411221.0,78530.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,425,3.493,(3.170),748,425.0,3493.0,-3170.0,748.0
,,,138.930,454.355,(496.606),96.679,138930.0,454355.0,-496606.0,96679.0
Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm kết thúc ngày 31/12/2020 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,725,9.500,(8.733),1.492,725.0,9500.0,-8733.0,1492.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày 31/12/2020 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,70.593,205.822,(151.392),125.023,70593.0,205822.0,-151392.0,125023.0
Thuế thu nhập cá nhân,Năm kết thúc ngày 31/12/2020 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.015,79.797,(77.822),11.990,10015.0,79797.0,-77822.0,11990.0
Các loại thuế khác,Năm kết thúc ngày 31/12/2020 > Các loại thuế khác,Các loại thuế khác,564,3.715,(3.854),425,564.0,3715.0,-3854.0,425.0
,,,81.897,298.834,(241.801),138.930,81897.0,298834.0,-241801.0,138930.0
