row_label_raw,row_label_full,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm_1,Giao dịch phát sinh trong năm_2,numeric__Giao dịch phát sinh trong năm_1,numeric__Giao dịch phát sinh trong năm_2
,,,2021Triệu VND,2020Triệu VND,,
"Trả lãi tiền gửi cho các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Trả lãi tiền gửi cho các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Trả lãi tiền gửi cho các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng",1.591,932,1591.0,932.0
Tiền lương và phụ cấp trả cho Tổng Giám đốc,Tiền lương và phụ cấp trả cho Tổng Giám đốc,Tiền lương và phụ cấp trả cho Tổng Giám đốc,5.065,5.822,5065.0,5822.0
Tiền lương và phụ cấp trả cho các thành viên khác Ban Tổng Giám đốc,Tiền lương và phụ cấp trả cho các thành viên khác Ban Tổng Giám đốc,Tiền lương và phụ cấp trả cho các thành viên khác Ban Tổng Giám đốc,19.193,22.076,19193.0,22076.0
Thù lao trả cho các thành viên Hội đồng Quản trịTrong đó:- Ông Nguyễn Quốc Toàn- Ông Trần Ngô Phúc Vũ- Ông Phan Đình Tân- Ông Nguyễn Quốc Mỹ- Bà Võ Thị Tuyết Nga- Bà Đỗ Anh Thư,Thù lao trả cho các thành viên Hội đồng Quản trịTrong đó:- Ông Nguyễn Quốc Toàn- Ông Trần Ngô Phúc Vũ- Ông Phan Đình Tân- Ông Nguyễn Quốc Mỹ- Bà Võ Thị Tuyết Nga- Bà Đỗ Anh Thư,Thù lao trả cho các thành viên Hội đồng Quản trịTrong đó:- Ông Nguyễn Quốc Toàn- Ông Trần Ngô Phúc Vũ- Ông Phan Đình Tân- Ông Nguyễn Quốc Mỹ- Bà Võ Thị Tuyết Nga- Bà Đỗ Anh Thư,1.8001.2001.2001.200600240,-1.2001.2001.200600240,1.8001200120012006e+21,-1.2001200120060024e+17
Thù lao trả cho các thành viên Ban Kiểm soát,Thù lao trả cho các thành viên Ban Kiểm soát,Thù lao trả cho các thành viên Ban Kiểm soát,1.720,1.720,1720.0,1720.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,
Thu lãi cho vay,Các bên liên quan khác (*) > Thu lãi cho vay,Thu lãi cho vay,1.664,1.092,1664.0,1092.0
Chi phí thuê,Các bên liên quan khác (*) > Chi phí thuê,Chi phí thuê,13.724,12.824,13724.0,12824.0
Trả lãi tiền gửi,Các bên liên quan khác (*) > Trả lãi tiền gửi,Trả lãi tiền gửi,48.898,49.461,48898.0,49461.0
Thu phí thuê,Các bên liên quan khác (*) > Thu phí thuê,Thu phí thuê,1.462,1.494,1462.0,1494.0
Chi dịch vụ khác,Các bên liên quan khác (*) > Chi dịch vụ khác,Chi dịch vụ khác,2,2,2.0,2.0
