row_label_raw,row_label_full,col_0,col_1,2021Triệu VND,2020Triệu VND,numeric__col_1,numeric__2021Triệu VND,numeric__2020Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định và chi phí xây dựng cơ bảnđở dang tương ứng,(96.896),(340.691),,-96896.0,-340691.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",1.156,31.303,,1156.0,31303.0
04,04,04,Mua sắm bất động sản đầu tư,-,(29),,,-29.0
05,05,05,"Tiền thu từ bán, thanh lý bất động sản đầu tư",18.621,25.047,,18621.0,25047.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(10.520),-,,-10520.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",151,63,,151.0,63.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(87.488),(284.307),,-87488.0,-284307.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
01,01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,-,843.132,,,843132.0
04,04,04,Cổ tức trả cho cổ đông,(540),(656),,-540.0,-656.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(540),842.476,,-540.0,842476.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,6.605.348,1.479.792,,6605348.0,1479792.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠITHỜI ĐIỂM ĐẦU NĂM,17.067.927,15.588.135,,17067927.0,15588135.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠITHỜI ĐIỂM CUỐI NĂM (THUYẾT MINH 37),23.673.275,17.067.927,,23673275.0,17067927.0
