row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tại ngày 31 tháng 12 năm 2021","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạnTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Khôngchịu lãiTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Dưới 1thángTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến3 thángTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trên 5 nămTriệu VND","Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > TổngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạnTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Khôngchịu lãiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Dưới 1thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến3 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trên 5 nămTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Nam fiscal > 201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3 > Thành phố Hồ Chí Minh, Việt Nam > Thuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > TổngTriệu VND"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,1.001.628,-,-,-,-,-,-,1.001.628,,1001628.0,,,,,,,1001628.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.131.299,-,-,-,-,-,5.131.299,,,5131299.0,,,,,,5131299.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,229.885,12.270.948,5.269.400,-,-,-,-,17.770.233,,229885.0,12270948.0,5269400.0,,,,,17770233.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,144.141,-,-,-,-,-,-,144.141,,144141.0,,,,,,,144141.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),3.629.901,27.386,29.425.062,48.521.154,6.405.421,13.136.720,1.507.622,-,102.653.266,3629901.0,27386.0,29425062.0,48521154.0,6405421.0,13136720.0,1507622.0,,102653266.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,1.377.193,300.000,2.003.376,880.000,1.000.045,895.160,16.708.640,23.164.414,,1377193.0,300000.0,2003376.0,880000.0,1000045.0,895160.0,16708640.0,23164414.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,125.800,-,-,-,-,-,-,125.800,,125800.0,,,,,,,125800.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,,981.992,-,-,-,-,-,-,981.992,,981992.0,,,,,,,981992.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,15.971,-,-,-,-,-,-,15.971,,15971.0,,,,,,,15971.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,3.870.264,-,-,-,-,-,-,3.870.264,,3870264.0,,,,,,,3870264.0
,,,3.629.901,7.774.260,47.127.309,55.793.930,7.285.421,14.136.765,2.402.782,16.708.640,154.859.008,3629901.0,7774260.0,47127309.0,55793930.0,7285421.0,14136765.0,2402782.0,16708640.0,154859008.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,-,638,358,-,-,-,996,,,,638.0,358.0,,,,996.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.660.671,4.981.076,446.641,641,533.266,-,15.622.295,,,9660671.0,4981076.0,446641.0,641.0,533266.0,,15622295.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,35.312.606,26.194.545,27.116.714,23.241.402,3.452.285,1.836,115.319.388,,,35312606.0,26194545.0,27116714.0,23241402.0,3452285.0,1836.0,115319388.0
Các công cụ phải sinh và cáckhoản nợ phải trả tài chính khác,Nợ phải trả > Các công cụ phải sinh và cáckhoản nợ phải trả tài chính khác,Các công cụ phải sinh và cáckhoản nợ phải trả tài chính khác,-,3.112,-,-,-,-,-,-,3.112,,3112.0,,,,,,,3112.0
"Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro",-,-,6.223,114.600,229.200,114.600,-,-,464.623,,,6223.0,114600.0,229200.0,114600.0,,,464623.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,35.520,374.860,1.954.610,1.595.880,4.706.693,1.692.540,10.360.103,,,35520.0,374860.0,1954610.0,1595880.0,4706693.0,1692540.0,10360103.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.442.147,-,-,-,-,-,-,3.442.147,,3442147.0,,,,,,,3442147.0
,,,-,3.445.259,45.015.020,31.665.719,29.747.523,24.952.523,8.692.244,1.694.376,145.212.664,,3445259.0,45015020.0,31665719.0,29747523.0,24952523.0,8692244.0,1694376.0,145212664.0
Mức chênh nhạy cảm vớilãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm vớilãi suất nội bằng,Mức chênh nhạy cảm vớilãi suất nội bằng,3.629.901,4.329.001,2.112.289,24.128.211,(22.462.102),(10.815.758),(6.289.462),15.014.264,9.646.344,3629901.0,4329001.0,2112289.0,24128211.0,-22462102.0,-10815758.0,-6289462.0,15014264.0,9646344.0
Mức chênh nhạy cảm vớilãi suất ngoại bằng,Mức chênh nhạy cảm vớilãi suất ngoại bằng,Mức chênh nhạy cảm vớilãi suất ngoại bằng,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng","Mức chênh nhạy cảm vớilãi suất ngoại bằng > Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng","Mức chênh nhạy cảm vớilãi suất nội, ngoại bằng",3.629.901,4.329.001,2.112.289,24.128.211,(22.462.102),(10.815.758),(6.289.462),15.014.264,9.646.344,3629901.0,4329001.0,2112289.0,24128211.0,-22462102.0,-10815758.0,-6289462.0,15014264.0,9646344.0
