row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị theo hợp đồng– gộpTriệu VND,31/12/2021 > Tiền gửi ký quỹTriệu VND,31/12/2021 > Giá trị theo hợp đồng– thuầnTriệu VND,31/12/2020 > Giá trị theo hợp đồng– gộpTriệu VND,31/12/2020 > Tiền gửi ký quỹTriệu VND,31/12/2020 > Giá trị theo hợp đồng– thuầnTriệu VND,numeric__31/12/2021 > Giá trị theo hợp đồng– gộpTriệu VND,numeric__31/12/2021 > Tiền gửi ký quỹTriệu VND,numeric__31/12/2021 > Giá trị theo hợp đồng– thuầnTriệu VND,numeric__31/12/2020 > Giá trị theo hợp đồng– gộpTriệu VND,numeric__31/12/2020 > Tiền gửi ký quỹTriệu VND,numeric__31/12/2020 > Giá trị theo hợp đồng– thuầnTriệu VND
Cam kết giao dịchhối đoáiTrong đó:,Cam kết giao dịchhối đoáiTrong đó:,Cam kết giao dịchhối đoáiTrong đó:,13.340.102,-,13.340.102,6.443.232,-,6.443.232,13340102.0,,13340102.0,6443232.0,,6443232.0
▪ Cam kết giao dịchhoán đổi tiền tệ,▪ Cam kết giao dịchhoán đổi tiền tệ,▪ Cam kết giao dịchhoán đổi tiền tệ,13.340.102,-,13.340.102,6.443.232,-,6.443.232,13340102.0,,13340102.0,6443232.0,,6443232.0
Cam kết trong nghiệpvụ L/C,Cam kết trong nghiệpvụ L/C,Cam kết trong nghiệpvụ L/C,932.115,-,932.115,1.224.892,(2.321),1.222.571,932115.0,,932115.0,1224892.0,-2321.0,1222571.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,1.066.273,(19.098),1.047.175,922.314,(38.243),884.071,1066273.0,-19098.0,1047175.0,922314.0,-38243.0,884071.0
