row_label_raw,row_label_full,Thông tin về Ngân hàng,1 - 2,numeric__1 - 2
Báo cáo của Ban Tổng Giám đốc,Báo cáo của Ban Tổng Giám đốc,Báo cáo của Ban Tổng Giám đốc,3,3.0
Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,4 - 5,
Bằng cân đối kế toán hợp nhất (Mẫu B02/TCTD-HN),Bằng cân đối kế toán hợp nhất (Mẫu B02/TCTD-HN),Bằng cân đối kế toán hợp nhất (Mẫu B02/TCTD-HN),6 - 8,
Báo cáo kết quả hoạt động kinh doanh hợp nhất (Mẫu B03/TCTD-HN),Bằng cân đối kế toán hợp nhất (Mẫu B02/TCTD-HN) > Báo cáo kết quả hoạt động kinh doanh hợp nhất (Mẫu B03/TCTD-HN),Báo cáo kết quả hoạt động kinh doanh hợp nhất (Mẫu B03/TCTD-HN),9,9.0
Báo cáo lưu chuyển tiền tệ hợp nhất (Mẫu B04/TCTD-HN),Báo cáo lưu chuyển tiền tệ hợp nhất (Mẫu B04/TCTD-HN),Báo cáo lưu chuyển tiền tệ hợp nhất (Mẫu B04/TCTD-HN),10 - 11,
Thuyết minh báo cáo tài chính hợp nhất (Mẫu B05/TCTD-HN),Thuyết minh báo cáo tài chính hợp nhất (Mẫu B05/TCTD-HN),Thuyết minh báo cáo tài chính hợp nhất (Mẫu B05/TCTD-HN),12 - 94,
