row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND > 2021,Khu vực Miền Bắc Triệu VND > 2020,Khu vực Miền Trung Triệu VND > 2021,Khu vực Miền Trung Triệu VND > 2020,Khu vực Miền Nam Triệu VND > 2021,Khu vực Miền Nam Triệu VND > 2020,Loại trừ Triệu VND > 2021,Loại trừ Triệu VND > 2020,Tổng Triệu VND > 2021,Tổng Triệu VND > 2020,numeric__Khu vực Miền Bắc Triệu VND > 2021,numeric__Khu vực Miền Bắc Triệu VND > 2020,numeric__Khu vực Miền Trung Triệu VND > 2021,numeric__Khu vực Miền Trung Triệu VND > 2020,numeric__Khu vực Miền Nam Triệu VND > 2021,numeric__Khu vực Miền Nam Triệu VND > 2020,numeric__Loại trừ Triệu VND > 2021,numeric__Loại trừ Triệu VND > 2020,numeric__Tổng Triệu VND > 2021,numeric__Tổng Triệu VND > 2020
I. Doanh thu,I. Doanh thu,I. Doanh thu,2.119.525,1.773.120,2.495.097,2.283.232,23.545.447,20.911.907,(16.396.332),(15.168.491),11.763.737,9.799.768,2119525.0,1773120.0,2495097.0,2283232.0,23545447.0,20911907.0,-16396332.0,-15168491.0,11763737.0,9799768.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,2.098.291,1.763.819,2.467.264,2.258.798,22.885.116,20.223.004,(16.396.332),(15.168.491),11.054.339,9.077.130,2098291.0,1763819.0,2467264.0,2258798.0,22885116.0,20223004.0,-16396332.0,-15168491.0,11054339.0,9077130.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,12.708,4.556,22.063,14.067,245.814,191.401,-,-,280.585,210.024,12708.0,4556.0,22063.0,14067.0,245814.0,191401.0,,,280585.0,210024.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,8.526,4.745,5.770,10.367,414.517,497.502,-,-,428.813,512.614,8526.0,4745.0,5770.0,10367.0,414517.0,497502.0,,,428813.0,512614.0
II. Chi phí,II. Chi phí,II. Chi phí,(1.843.174),(1.663.744),(2.116.533),(2.064.667),(21.621.419),(19.676.153),16.396.332,15.168.491,(9.184.794),(8.236.073),-1843174.0,-1663744.0,-2116533.0,-2064667.0,-21621419.0,-19676153.0,16396332.0,15168491.0,-9184794.0,-8236073.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(1.675.080),(1.539.570),(1.865.908),(1.846.455),(19.626.494),(18.255.651),16.396.332,15.168.491,(6.771.150),(6.473.185),-1675080.0,-1539570.0,-1865908.0,-1846455.0,-19626494.0,-18255651.0,16396332.0,15168491.0,-6771150.0,-6473185.0
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(5.963),(4.124),(12.616),(10.740),(90.335),(78.131),-,-,(108.914),(92.995),-5963.0,-4124.0,-12616.0,-10740.0,-90335.0,-78131.0,,,-108914.0,-92995.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(162.131),(120.050),(238.009),(207.472),(1.904.590),(1.342.371),-,-,(2.304.730),(1.669.893),-162131.0,-120050.0,-238009.0,-207472.0,-1904590.0,-1342371.0,,,-2304730.0,-1669893.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,276.351,109.376,378.564,218.565,1.924.028,1.235.754,-,-,2.578.943,1.563.695,276351.0,109376.0,378564.0,218565.0,1924028.0,1235754.0,,,2578943.0,1563695.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,3.083,(5.372),(37.637),(2.514),(745.298),(550.323),-,-,(779.852),(558.209),3083.0,-5372.0,-37637.0,-2514.0,-745298.0,-550323.0,,,-779852.0,-558209.0
Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,279.434,104.004,340.927,216.051,1.178.730,685.431,-,-,1.799.091,1.005.486,279434.0,104004.0,340927.0,216051.0,1178730.0,685431.0,,,1799091.0,1005486.0
